file,synopsis,genres,amazon_rating,global_ratings,error,imdb-rating-badge,runtime-badge,release-year-badge,x-ray-badge,hdr-badge,uhd-badge,rating-badge,link
5687_Redbad.html,"In the year of 754 AD, during a time of epic battles and bloodshed, the legend of the pagan warrior king, Redbad, is born, but so is a new weapon against his people:  Christianity.  Redbad must ultimately unite a Viking army powerful enough to defeat the seemingly invincible Franks.","Drama,Historical",Rated 3.8 out of 5 stars by 362 Amazon customers.,362,1,IMDb 5.5,2 h 40 min,2018.0,X-Ray,,,18+,/gp/video/detail/B07GDVHN12/ref=atv_dp_atf_prime_sd_mv_play_t1A3AAAAAA0wr0?autoplay=1&t=0
5688_Mrs_Harris_Goes_to_Paris.html,An ordinary woman's (Lesley Manville) dream of owning a Christian Dior gown leads her on a Parisian adventure where her unwavering spirit charms the elite people she meets.,"Comedy,Drama,Arts, Entertainment, and Culture",Rated 4.7 out of 5 stars by 7341 Amazon customers.,"7,341",1,IMDb 7.1,1 h 55 min,2022.0,X-Ray,HDR,UHD,PG,/gp/video/detail/B0B5LWVQJ5/ref=atv_dp_atf_prime_sd_mv_play_t1A3AAAAAA0wr0?autoplay=1&t=0
5689_Hacksaw_Ridge.html,"Andrew Garfield stars as pacifistic WWII hero Desmond T. Doss, who saved 75 men at the Battle of Okinawa without ever firing a weapon.","Action,Historical",Rated 4.8 out of 5 stars by 31478 Amazon customers.,"31,478",1,IMDb 8.1,2 h 19 min,2016.0,X-Ray,HDR,UHD,18+,/gp/video/detail/B07TVWF84N/ref=atv_dp_atf_prime_sd_mv_play_t1A3AAAAAA0wr0?autoplay=1&t=0
568_The_Cat_in_the_Hat_Knows_a_Lot_About_Camping.html,"It's the first day of Summer Vacation and The Cat in the Hat whisks Nick, Sally and Fish off on the greatest great outdoor camping adventure ever! Our gang gets back to nature as they hike through the Fickle Fern Forest, camp out overnight, trek over Mt. Weewobble and canoe down the Tickle Drop River.","Animation,Kids",Rated 4.4 out of 5 stars by 96 Amazon customers.,96,1,IMDb 5.6,58min,2016.0,X-Ray,,,ALL,/gp/video/detail/B073X1WWN1/ref=atv_dp_atf_prime_sd_mv_play_t1A3AAAAAA0wr0?autoplay=1&t=0
5690_Dont_Look_Back.html,"Caitlin, a woman overcoming a tragic past, is among several people who see a man being fatally assaulted. When the witnesses start dying mysteriously, she must unearth if they're being targeted by a killer or something more insidious.",Horror,Rated 3.9 out of 5 stars by 556 Amazon customers.,556,1,IMDb 3.9,1 h 24 min,2020.0,X-Ray,,,13+,/gp/video/detail/B08GSKTJ5S/ref=atv_dp_atf_prime_sd_mv_play_t1A3AAAAAA0wr0?autoplay=1&t=0
5691_Bad_Teacher.html,"A foul-mouthed seventh grade teacher who is dumped by her sugar daddy starts to pursue a colleague, which provokes conflict with the school's model teacher.","Comedy,Romance",Rated 4.5 out of 5 stars by 4273 Amazon customers.,"4,273",1,IMDb 5.6,1 h 31 min,2011.0,X-Ray,,UHD,R,/gp/video/detail/B005JU5JEI/ref=atv_dp_atf_prime_sd_mv_play_t1B3EAAAAAdwr0?autoplay=1&t=0
5692_League_Of_Extraordinary_Gentlemen.html,"In an alternate turn-of-the-previous-century fictional reality, Queen Victoria assembles some of the greatest criminal legends of the time to team up for a secret mission.","Science Fiction,Fantasy",Rated 4.7 out of 5 stars by 6091 Amazon customers.,"6,091",1,IMDb 5.8,1 h 50 min,2003.0,X-Ray,,,PG-13,/gp/video/detail/B009EEGEWQ/ref=atv_dp_atf_prime_sd_mv_play_t1A3EAAAAAdwr0?autoplay=1&t=0
5693_The_Retaliators.html,An upstanding pastor uncovers a dark and twisted underworld as he searches for answers surrounding his daughter's brutal murder. A high-octane original soundtrack and cameos from some of the biggest names in rock music set the tone as this horror-thriller reveals a game of revenge played using a new set of rules.,"Suspense,Horror",Rated 3.8 out of 5 stars by 884 Amazon customers.,884,1,IMDb 5.2,1 h 35 min,2022.0,X-Ray,,,18+,/gp/video/detail/B0B6ZN7RL3/ref=atv_dp_atf_prime_sd_mv_play_t1A3AAAAAA0wr0?autoplay=1&t=0
5694_Murder_on_the_Cape.html,"Based on the true story of New York fashion writer Christa Worthington who has an affair with a man during a winter in Cape Cod.  She returns two years later with his child. When she is murdered, a mystery unfolds within the community.","Suspense,Drama",Rated 2.2 out of 5 stars by 149 Amazon customers.,149,1,IMDb 2.7,1 h 35 min,2017.0,X-Ray,,,16+,/gp/video/detail/B075BLNF3X/ref=atv_dp_atf_prime_sd_mv_play_t1A3AAAAAA0wr0?autoplay=1&t=0
5695_Transporter_2.html,Jason Statham returns as a highly skilled driver and ex-commando who's called back into action when ruthless kidnappers abduct a young boy from a wealthy family.,"Suspense,Action",Rated 4.6 out of 5 stars by 3370 Amazon customers.,"3,370",1,IMDb 6.3,1 h 27 min,2005.0,X-Ray,,,PG-13,/gp/video/detail/B000I9YX7O/ref=atv_dp_atf_prime_sd_mv_play_t1A3EAAAAAdwr0?autoplay=1&t=0
