g-spine,g-img,g-title,g-director,g-country,g-year,link
285,,Ashes and Diamonds,Andrzej Wajda,"Poland,",1958,https://www.criterion.com/films/342-ashes-and-diamonds
111,,Mon oncle,Jacques Tati,"France,",1958,https://www.criterion.com/films/650-mon-oncle
7,,A Night to Remember,Roy Ward Baker,"United Kingdom,",1958,https://www.criterion.com/films/521-a-night-to-remember
580,,Le beau Serge,Claude Chabrol,"France,",1958,https://www.criterion.com/films/27817-le-beau-serge
113,,Big Deal on Madonna Street,Mario Monicelli,"Italy,",1958,https://www.criterion.com/films/652-big-deal-on-madonna-street
92,,Fiend Without a Face,Arthur Crabtree,"United Kingdom,",1958,https://www.criterion.com/films/631-fiend-without-a-face
,,Brink of Life,Ingmar Bergman,"Sweden,",1958,https://www.criterion.com/films/29442-brink-of-life
367,,The Haunted Strangler,Robert Day,"United States,",1958,https://www.criterion.com/films/805-the-haunted-strangler
,,Equinox Flower,Yasujiro Ozu,"Japan,",1958,https://www.criterion.com/films/783-equinox-flower
116,,The Hidden Fortress,Akira Kurosawa,"Japan,",1958,https://www.criterion.com/films/655-the-hidden-fortress
335,,Elevator to the Gallows,Louis Malle,"France,",1958,https://www.criterion.com/films/778-elevator-to-the-gallows
88,,"Ivan the Terrible, Part II",Sergei Eisenstein,"Soviet Union,",1958,https://www.criterion.com/films/354-ivan-the-terrible-part-ii
1016,,Invention for Destruction,Karel Zeman,"Czechoslovakia,",1958,https://www.criterion.com/films/29654-invention-for-destruction
429,,The Lovers,Louis Malle,"France,",1958,https://www.criterion.com/films/539-the-lovers
573,,The Music Room,Satyajit Ray,"India,",1958,https://www.criterion.com/films/27657-the-music-room
,,Rusty Knife,Toshio Masuda,"Japan,",1958,https://www.criterion.com/films/2956-rusty-knife
314,,Pickpocket,Robert Bresson,"France,",1959,https://www.criterion.com/films/229-pickpocket
48,,Black Orpheus,Marcel Camus,"France,",1959,https://www.criterion.com/films/344-black-orpheus
148,,Ballad of a Soldier,Grigori Chukhrai,"Soviet Union,",1959,https://www.criterion.com/films/343-ballad-of-a-soldier
463,,Il Generale Della Rovere,Roberto Rossellini,"Italy,",1959,https://www.criterion.com/films/1085-il-generale-della-rovere
581,,Les cousins,Claude Chabrol,"France,",1959,https://www.criterion.com/films/27816-les-cousins
,,Sapphire,Basil Dearden,"United Kingdom,",1959,https://www.criterion.com/films/27536-sapphire
785,,Apur Sansar,Satyajit Ray,"India,",1959,https://www.criterion.com/films/27905-apur-sansar
368,,Corridors of Blood,Robert Day,"United States,",1959,https://www.criterion.com/films/806-corridors-of-blood
600,,Anatomy of a Murder,Otto Preminger,"United States,",1959,https://www.criterion.com/films/27901-anatomy-of-a-murder
406,,Martha Graham: Dance on Film,Nathan Kroll,"United States,",1959,https://www.criterion.com/films/835-martha-graham-dance-on-film
,,Floating Weeds,Yasujiro Ozu,"Japan,",1959,https://www.criterion.com/films/349-floating-weeds
,,Kapò,Gillo Pontecorvo,"Italy,",1959,https://www.criterion.com/films/22619-kapo
5,,The 400 Blows,François Truffaut,"France,",1959,https://www.criterion.com/films/151-the-400-blows
69,,Testament of Orpheus,Jean Cocteau,"France,",1959,https://www.criterion.com/films/611-testament-of-orpheus
251,,Shadows,John Cassavetes,"United States,",1959,https://www.criterion.com/films/500-shadows
601,,Letter Never Sent,Mikhail Kalatozov,"Soviet Union,",1959,https://www.criterion.com/films/27673-letter-never-sent
,,Ride Lonesome,Budd Boetticher,"United States,",1959,https://www.criterion.com/films/32214-ride-lonesome
950,,Some Like It Hot,Billy Wilder,"United States,",1959,https://www.criterion.com/films/29162-some-like-it-hot
378,,Fires on the Plain,Kon Ichikawa,"Japan,",1959,https://www.criterion.com/films/347-fires-on-the-plain
196,,Hiroshima mon amour,Alain Resnais,"France,",1959,https://www.criterion.com/films/217-hiroshima-mon-amour
480,,The Human Condition,Masaki Kobayashi,"Japan,",1959,https://www.criterion.com/films/2106-the-human-condition
84,,Good Morning,Yasujiro Ozu,"Japan,",1959,https://www.criterion.com/films/624-good-morning
366,,The Atomic Submarine,Spencer G. Bennet,"United States,",1959,https://www.criterion.com/films/804-the-atomic-submarine
365,,First Man into Space,Robert Day,"United States,",1959,https://www.criterion.com/films/803-first-man-into-space
763,,The Bridge,Bernhard Wicki,"Germany,",1959,https://www.criterion.com/films/27972-the-bridge
733,,La dolce vita,Federico Fellini,"Italy,",1960,https://www.criterion.com/films/28619-la-dolce-vita
1102,,Devi,Satyajit Ray,"India,",1960,https://www.criterion.com/films/27906-devi
,,The Warped Ones,Koreyoshi Kurahara,"Japan,",1960,https://www.criterion.com/films/27687-the-warped-ones
,,Late Autumn,Yasujiro Ozu,"Japan,",1960,https://www.criterion.com/films/800-late-autumn
315,,Shoot the Piano Player,François Truffaut,"France,",1960,https://www.criterion.com/films/764-shoot-the-piano-player
637,,Purple Noon,René Clément,"France,",1960,https://www.criterion.com/films/27810-purple-noon
,,The Devil’s Eye,Ingmar Bergman,"Sweden,",1960,https://www.criterion.com/films/28193-the-devil-s-eye
105,,Spartacus,Stanley Kubrick,"United States,",1960,https://www.criterion.com/films/449-spartacus
993,,The Cloud-Capped Star,Ritwik Ghatak,"India,",1960,https://www.criterion.com/films/29059-the-cloud-capped-star
225,,Tunes of Glory,Ronald Neame,"United Kingdom,",1960,https://www.criterion.com/films/659-tunes-of-glory
260,,Eyes Without a Face,Georges Franju,"France,",1960,https://www.criterion.com/films/950-eyes-without-a-face
515,,The Fugitive Kind,Sidney Lumet,"United States,",1960,https://www.criterion.com/films/17998-the-fugitive-kind
352,,Jigoku,Nobuo Nakagawa,"Japan,",1960,https://www.criterion.com/films/797-jigoku
,,Stowaway in the Sky,Albert Lamorisse,"France,",1960,https://www.criterion.com/films/31470-stowaway-in-the-sky
,,Comanche Station,Budd Boetticher,"United States,",1960,https://www.criterion.com/films/32211-comanche-station
58,,Peeping Tom,Michael Powell,"United Kingdom,",1960,https://www.criterion.com/films/235-peeping-tom
98,,L’avventura,Michelangelo Antonioni,"Italy,",1960,https://www.criterion.com/films/209-l-avventura
129,,Le trou,Jacques Becker,"France,",1960,https://www.criterion.com/films/668-le-trou
,,Intimidation,Koreyoshi Kurahara,"Japan,",1960,https://www.criterion.com/films/27759-intimidation
,,Take Aim at the Police Van,Seijun Suzuki,"Japan,",1960,https://www.criterion.com/films/2957-take-aim-at-the-police-van
570,,Zazie dans le métro,Louis Malle,"France,",1960,https://www.criterion.com/films/27626-zazie-dans-le-metro
319,,The Bad Sleep Well,Akira Kurosawa,"Japan,",1960,https://www.criterion.com/films/765-the-bad-sleep-well
321,,The Virgin Spring,Ingmar Bergman,"Sweden,",1960,https://www.criterion.com/films/372-the-virgin-spring
377,,When a Woman Ascends the Stairs,Mikio Naruse,"Japan,",1960,https://www.criterion.com/films/816-when-a-woman-ascends-the-stairs
690,,The Housemaid,Kim Ki-young,"South Korea,",1960,https://www.criterion.com/films/28409-the-housemaid
960,,La vérité,Henri-Georges Clouzot,"France,",1960,https://www.criterion.com/films/27913-la-verite
811,,The Naked Island,Kaneto Shindo,"Japan,",1960,https://www.criterion.com/films/27774-the-naked-island
408,,Breathless,Jean-Luc Godard,"France,",1960,https://www.criterion.com/films/268-breathless
434,,Classe tous risques,Claude Sautet,"France,",1960,https://www.criterion.com/films/591-classe-tous-risques
,,The League of Gentlemen,Basil Dearden,"United Kingdom,",1960,https://www.criterion.com/films/27537-the-league-of-gentlemen
844,,One-Eyed Jacks,Marlon Brando,"United States,",1961,https://www.criterion.com/films/28979-one-eyed-jacks
648,,Chronicle of a Summer,Jean Rouch and Edgar Morin,"France,",1961,https://www.criterion.com/films/28394-chronicle-of-a-summer
,,Accattone,Pier Paolo Pasolini,"Italy,",1961,https://www.criterion.com/films/31431-accattone
850,,Something Wild,Jack Garfein,"United States,",1961,https://www.criterion.com/films/28777-something-wild
829,,A Taste of Honey,Tony Richardson,"United Kingdom,",1961,https://www.criterion.com/films/28734-a-taste-of-honey
945,,A Raisin in the Sun,Daniel Petrie,"United States,",1961,https://www.criterion.com/films/28826-a-raisin-in-the-sun
238,,A Woman Is a Woman,Jean-Luc Godard,"France,",1961,https://www.criterion.com/films/854-a-woman-is-a-woman
428,,Blast of Silence,Allen Baron,"United States,",1961,https://www.criterion.com/films/538-blast-of-silence
802,,Paris Belongs to Us,Jacques Rivette,"France,",1961,https://www.criterion.com/films/27724-paris-belongs-to-us
,,Victim,Basil Dearden,"United Kingdom,",1961,https://www.criterion.com/films/27538-victim
727,,The Innocents,Jack Clayton,"United States,",1961,https://www.criterion.com/films/28569-the-innocents
714,,Lola,Jacques Demy,"France,",1961,https://www.criterion.com/films/27932-lola
194,,Il posto,Ermanno Olmi,"Italy,",1961,https://www.criterion.com/films/364-il-posto
,,The End of Summer,Yasujiro Ozu,"Japan,",1961,https://www.criterion.com/films/801-the-end-of-summer
286,,Divorce Italian Style,Pietro Germi,"Italy,",1961,https://www.criterion.com/films/877-divorce-italian-style
52,,Yojimbo,Akira Kurosawa,"Japan,",1961,https://www.criterion.com/films/597-yojimbo
572,,"Léon Morin, Priest",Jean-Pierre Melville,"France,",1961,https://www.criterion.com/films/27660-leon-morin-priest
209,,Through a Glass Darkly,Ingmar Bergman,"Sweden,",1961,https://www.criterion.com/films/568-through-a-glass-darkly
678,,La notte,Michelangelo Antonioni,"Italy,",1961,https://www.criterion.com/films/28111-la-notte
478,,Last Year at Marienbad,Alain Resnais,"France,",1961,https://www.criterion.com/films/1517-last-year-at-marienbad
332,,Viridiana,Luis Buñuel,"Spain,",1961,https://www.criterion.com/films/373-viridiana
,,All Night Long,Basil Dearden,"United Kingdom,",1962,https://www.criterion.com/films/27539-all-night-long
472,,Pigs and Battleships,Shohei Imamura,"Japan,",1962,https://www.criterion.com/films/1428-pigs-and-battleships
,,The Inheritance,Masaki Kobayashi,"Japan,",1962,https://www.criterion.com/films/28237-the-inheritance
446,,An Autumn Afternoon,Yasujiro Ozu,"Japan,",1962,https://www.criterion.com/films/784-an-autumn-afternoon
281,,Jules and Jim,François Truffaut,"France,",1962,https://www.criterion.com/films/218-jules-and-jim
272,,La commare secca,Bernardo Bertolucci,"Italy,",1962,https://www.criterion.com/films/940-la-commare-secca
512,,Vivre sa vie,Jean-Luc Godard,"France,",1962,https://www.criterion.com/films/3060-vivre-sa-vie
,,Three Documentaries,Saul J. Turell,"United States,",1962,https://www.criterion.com/films/1079-three-documentaries
728,,Sundays and Cybèle,Serge Bourguignon,"France,",1962,https://www.criterion.com/films/27912-sundays-and-cybele
63,,Carnival of Souls,Herk Harvey,"United States,",1962,https://www.criterion.com/films/607-carnival-of-souls
707,,Il sorpasso,Dino Risi,"Italy,",1962,https://www.criterion.com/films/28429-il-sorpasso
397,,Ivan’s Childhood,Andrei Tarkovsky,"Soviet Union,",1962,https://www.criterion.com/films/830-ivan-s-childhood
302,,Harakiri,Masaki Kobayashi,"Japan,",1962,https://www.criterion.com/films/743-harakiri
1191,,The Trial,Orson Welles,"France,",1962,https://www.criterion.com/films/28115-the-trial
424,,Mafioso,Alberto Lattuada,"Italy,",1962,https://www.criterion.com/films/527-mafioso
393,,Pitfall,Hiroshi Teshigahara,"Japan,",1962,https://www.criterion.com/films/827-pitfall
73,,Cléo from 5 to 7,Agnès Varda,"France,",1962,https://www.criterion.com/films/244-cleo-from-5-to-7
447,,Le doulos,Jean-Pierre Melville,"France,",1962,https://www.criterion.com/films/759-le-doulos
803,,The Manchurian Candidate,John Frankenheimer,"United States,",1962,https://www.criterion.com/films/28784-the-manchurian-candidate
,,Vive le Tour,Louis Malle,"France,",1962,https://www.criterion.com/films/670-vive-le-tour
,,I Hate But Love,Koreyoshi Kurahara,"Japan,",1962,https://www.criterion.com/films/27760-i-hate-but-love
,,The Tale of Zatoichi Continues,Kazuo Mori,"Japan,",1962,https://www.criterion.com/films/28301-the-tale-of-zatoichi-continues
1017,,The Fabulous Baron Munchausen,Karel Zeman,"Czechoslovakia,",1962,https://www.criterion.com/films/29652-the-fabulous-baron-munchausen
215,,Knife in the Water,Roman Polanski,"Poland,",1962,https://www.criterion.com/films/219-knife-in-the-water
195,,I fidanzati,Ermanno Olmi,"Italy,",1962,https://www.criterion.com/films/739-i-fidanzati
236,,Mamma Roma,Pier Paolo Pasolini,"Italy,",1962,https://www.criterion.com/films/375-mamma-roma
,,The Tale of Zatoichi,Kenji Misumi,"Japan,",1962,https://www.criterion.com/films/28300-the-tale-of-zatoichi
459,,The Exterminating Angel,Luis Buñuel,"Mexico,",1962,https://www.criterion.com/films/1076-the-exterminating-angel
228,,Salvatore Giuliano,Francesco Rosi,"Italy,",1962,https://www.criterion.com/films/687-salvatore-giuliano
53,,Sanjuro,Akira Kurosawa,"Japan,",1962,https://www.criterion.com/films/598-sanjuro
278,,L’eclisse,Michelangelo Antonioni,"Italy,",1962,https://www.criterion.com/films/928-l-eclisse
,,Zatoichi on the Road,Kimiyoshi Yasuda,"Japan,",1963,https://www.criterion.com/films/28304-zatoichi-on-the-road
268,,Youth of the Beast,Seijun Suzuki,"Japan,",1963,https://www.criterion.com/films/946-youth-of-the-beast
692,,"It’s a Mad, Mad, Mad, Mad World",Stanley Kramer,"United States,",1963,https://www.criterion.com/films/28579-it-s-a-mad-mad-mad-mad-world
1182,,The Servant,Joseph Losey,"United Kingdom,",1963,https://www.criterion.com/films/31285-the-servant
,,The Baby Carriage,Bo Widerberg,"Sweden,",1963,https://www.criterion.com/films/30388-the-baby-carriage
1010,,Le petit soldat,Jean-Luc Godard,"France,",1963,https://www.criterion.com/films/28093-le-petit-soldat
824,,"Muriel, or The Time of Return",Alain Resnais,"France,",1963,https://www.criterion.com/films/28635-muriel-or-the-time-of-return
140,,8½,Federico Fellini,"Italy,",1963,https://www.criterion.com/films/150-8-1-2
710,,Judex,Georges Franju,"France,",1963,https://www.criterion.com/films/28047-judex
1027,,The Great Escape,John Sturges,"United States,",1963,https://www.criterion.com/films/29149-the-great-escape
24,,High and Low,Akira Kurosawa,"Japan,",1963,https://www.criterion.com/films/543-high-and-low
121,,Billy Liar,John Schlesinger,"United Kingdom,",1963,https://www.criterion.com/films/662-billy-liar
430,,The Fire Within,Louis Malle,"France,",1963,https://www.criterion.com/films/540-the-fire-within
171,,Contempt,Jean-Luc Godard,"France,",1963,https://www.criterion.com/films/239-contempt
715,,Bay of Angels,Jacques Demy,"France,",1963,https://www.criterion.com/films/27935-bay-of-angels
211,,The Silence,Ingmar Bergman,"Sweden,",1963,https://www.criterion.com/films/570-the-silence
473,,The Insect Woman,Shohei Imamura,"Japan,",1963,https://www.criterion.com/films/1430-the-insect-woman
344,,Suzanne’s Career,Eric Rohmer,"France,",1963,https://www.criterion.com/films/787-suzanne-s-career
840,,The Executioner,Luis García Berlanga,"Spain,",1963,https://www.criterion.com/films/28980-the-executioner
,,New Tale of Zatoichi,Tokuzo Tanaka,"Japan,",1963,https://www.criterion.com/films/28302-new-tale-of-zatoichi
,,Raven’s End,Bo Widerberg,"Sweden,",1963,https://www.criterion.com/films/30387-raven-s-end
19,,Shock Corridor,Samuel Fuller,"United States,",1963,https://www.criterion.com/films/534-shock-corridor
,,La Jetée,Chris Marker,"France,",1963,https://www.criterion.com/films/329-la-jetee
343,,The Bakery Girl of Monceau,Eric Rohmer,"France,",1963,https://www.criterion.com/films/786-the-bakery-girl-of-monceau
668,,The Big City,Satyajit Ray,"India,",1963,https://www.criterion.com/films/28448-the-big-city
610,,The Organizer,Mario Monicelli,"Italy,",1963,https://www.criterion.com/films/27612-the-organizer
912,,An Actor’s Revenge,Kon Ichikawa,"Japan,",1963,https://www.criterion.com/films/28899-an-actor-s-revenge
355,,Hands over the City,Francesco Rosi,"Italy,",1963,https://www.criterion.com/films/799-hands-over-the-city
57,,Charade,Stanley Donen,"United States,",1963,https://www.criterion.com/films/603-charade
235,,The Leopard,Luchino Visconti,"Italy,",1963,https://www.criterion.com/films/790-the-leopard
417,,This Sporting Life,Lindsay Anderson,"United Kingdom,",1963,https://www.criterion.com/films/853-this-sporting-life
43,,Lord of the Flies,Peter Brook,"United Kingdom,",1963,https://www.criterion.com/films/563-lord-of-the-flies
,,Zatoichi the Fugitive,Tokuzo Tanaka,"Japan,",1963,https://www.criterion.com/films/28303-zatoichi-the-fugitive
210,,Winter Light,Ingmar Bergman,"Sweden,",1963,https://www.criterion.com/films/569-winter-light
,,The Suitor,Pierre Etaix,"France,",1963,https://www.criterion.com/films/28395-the-suitor
910,,Tom Jones,Tony Richardson,"United Kingdom,",1963,https://www.criterion.com/films/28736-tom-jones
,,King Kong vs. Godzilla,,"Japan,",1963,https://www.criterion.com/films/30209-king-kong-vs-godzilla
821,,"Dr. Strangelove, or: How I Learned to Stop Worrying and Love the Bomb",Stanley Kubrick,"United States,",1964,https://www.criterion.com/films/28822-dr-strangelove-or-how-i-learned-to-stop-worrying-and-love-the-bomb
,,Cruel Gun Story,Takumi Furukawa,"Japan,",1964,https://www.criterion.com/films/2958-cruel-gun-story
474,,Intentions of Murder,Shohei Imamura,"Japan,",1964,https://www.criterion.com/films/1431-intentions-of-murder
,,"Ghidorah, the Three-Headed Monster",Ishiro Honda,"Japan,",1964,https://www.criterion.com/films/29340-ghidorah-the-three-headed-monster
711,,A Hard Day’s Night,Richard Lester,"United Kingdom,",1964,https://www.criterion.com/films/28547-a-hard-day-s-night
,,Adventures of Zatoichi,Kimiyoshi Yasuda,"Japan,",1964,https://www.criterion.com/films/28308-adventures-of-zatoichi
404,,Robinson Crusoe on Mars,Byron Haskin,"United States,",1964,https://www.criterion.com/films/821-robinson-crusoe-on-mars
,,Zatoichi’s Flashing Sword,Kazuo Ikehiro,"Japan,",1964,https://www.criterion.com/films/28306-zatoichi-s-flashing-sword
117,,Diary of a Chambermaid,Luis Buñuel,"France,",1964,https://www.criterion.com/films/656-diary-of-a-chambermaid
226,,Onibaba,Kaneto Shindo,"Japan,",1964,https://www.criterion.com/films/665-onibaba
,,Black Sun,Koreyoshi Kurahara,"Japan,",1964,https://www.criterion.com/films/27761-black-sun
669,,Charulata,Satyajit Ray,"India,",1964,https://www.criterion.com/films/28447-charulata
596,,Three Outlaw Samurai,Hideo Gosha,"Japan,",1964,https://www.criterion.com/films/27734-three-outlaw-samurai
174,,Band of Outsiders,Jean-Luc Godard,"France,",1964,https://www.criterion.com/films/291-band-of-outsiders
,,Babo 73,Robert Downey Sr.,"United States,",1964,https://www.criterion.com/films/27938-babo-73
522,,Red Desert,Michelangelo Antonioni,"France,",1964,https://www.criterion.com/films/1454-red-desert
18,,The Naked Kiss,Samuel Fuller,"United States,",1964,https://www.criterion.com/films/533-the-naked-kiss
127,,Gertrud,Carl Th. Dreyer,"Denmark,",1964,https://www.criterion.com/films/443-gertrud
,,Love Meetings,Pier Paolo Pasolini,"Italy,",1964,https://www.criterion.com/films/31432-love-meetings
1214,,I Am Cuba,Mikhail Kalatozov,"Cuba,",1964,https://www.criterion.com/films/33466-i-am-cuba
564,,Pale Flower,Masahiro Shinoda,"Japan,",1964,https://www.criterion.com/films/27604-pale-flower
,,All These Women,Ingmar Bergman,"Sweden,",1964,https://www.criterion.com/films/27671-all-these-women
298,,Gate of Flesh,Seijun Suzuki,"Japan,",1964,https://www.criterion.com/films/863-gate-of-flesh
1011,,Fail Safe,Sidney Lumet,"United States,",1964,https://www.criterion.com/films/28825-fail-safe
,,The Gospel According to Matthew,Pier Paolo Pasolini,"Italy,",1964,https://www.criterion.com/films/31440-the-gospel-according-to-matthew
350,,Seduced and Abandoned,Pietro Germi,"Italy,",1964,https://www.criterion.com/films/796-seduced-and-abandoned
394,,Woman in the Dunes,Hiroshi Teshigahara,"Japan,",1964,https://www.criterion.com/films/826-woman-in-the-dunes
969,,Diamonds of the Night,Jan Němec,"Czechoslovakia,",1964,https://www.criterion.com/films/29375-diamonds-of-the-night
716,,The Umbrellas of Cherbourg,Jacques Demy,"France,",1964,https://www.criterion.com/films/27933-the-umbrellas-of-cherbourg
,,"Fight, Zatoichi, Fight",Kenji Misumi,"Japan,",1964,https://www.criterion.com/films/28307-fight-zatoichi-fight
,,Loving Couples,Mai Zetterling,"Sweden,",1964,https://www.criterion.com/films/30379-loving-couples
,,Mothra vs. Godzilla,Ishiro Honda,"Japan,",1964,https://www.criterion.com/films/29341-mothra-vs-godzilla
,,The Killers,Don Siegel,"United States,",1964,https://www.criterion.com/films/725-the-killers
,,Zatoichi and the Chest of Gold,Kazuo Ikehiro,"Japan,",1964,https://www.criterion.com/films/28305-zatoichi-and-the-chest-of-gold
1225,,"Black God, White Devil",Glauber Rocha,"Brazil,",1964,https://www.criterion.com/films/33537-black-god-white-devil
1209,,Nothing but a Man,Michael Roemer,"United States,",1964,https://www.criterion.com/films/31775-nothing-but-a-man
688,,Dry Summer,Metin Erksan,"Turkey,",1964,https://www.criterion.com/films/28410-dry-summer
749,,The Soft Skin,François Truffaut,"France,",1964,https://www.criterion.com/films/27640-the-soft-skin
,,Zatoichi and the Chess Expert,Kenji Misumi,"Japan,",1965,https://www.criterion.com/films/28311-zatoichi-and-the-chess-expert
25,,Alphaville,Jean-Luc Godard,"France,",1965,https://www.criterion.com/films/207-alphaville
483,,Repulsion,Roman Polanski,"United Kingdom,",1965,https://www.criterion.com/films/404-repulsion
159,,Red Beard,Akira Kurosawa,"Japan,",1965,https://www.criterion.com/films/713-red-beard
311,,Sword of the Beast,Hideo Gosha,"Japan,",1965,https://www.criterion.com/films/761-sword-of-the-beast
149,,Juliet of the Spirits,Federico Fellini,"Italy,",1965,https://www.criterion.com/films/689-juliet-of-the-spirits
452,,The Spy Who Came in from the Cold,Martin Ritt,"United States,",1965,https://www.criterion.com/films/860-the-spy-who-came-in-from-the-cold
90,,Kwaidan,Masaki Kobayashi,"Japan,",1965,https://www.criterion.com/films/629-kwaidan
,,Yoyo,Pierre Etaix,"France,",1965,https://www.criterion.com/films/28454-yoyo
415,,The Naked Prey,Cornel Wilde,"United States,",1965,https://www.criterion.com/films/848-the-naked-prey
,,Pleasures of the Flesh,Nagisa Oshima,"Japan,",1965,https://www.criterion.com/films/23954-pleasures-of-the-flesh
299,,Story of a Prostitute,Seijun Suzuki,"Japan,",1965,https://www.criterion.com/films/862-story-of-a-prostitute
421,,Pierrot le fou,Jean-Luc Godard,"France,",1965,https://www.criterion.com/films/149-pierrot-le-fou
420,,Le bonheur,Agnès Varda,"France,",1965,https://www.criterion.com/films/525-le-bonheur
,,Invasion of Astro-Monster,Ishiro Honda,"Japan,",1965,https://www.criterion.com/films/29344-invasion-of-astro-monster
,,Zatoichi’s Revenge,Akira Inoue,"Japan,",1965,https://www.criterion.com/films/28309-zatoichi-s-revenge
801,,I Knew Her Well,Antonio Pietrangeli,"Italy,",1965,https://www.criterion.com/films/28600-i-knew-her-well
155,,Tokyo Olympiad,Kon Ichikawa,"Japan,",1965,https://www.criterion.com/films/709-tokyo-olympiad
460,,Simon of the Desert,Luis Buñuel,"Mexico,",1965,https://www.criterion.com/films/1077-simon-of-the-desert
312,,Samurai Spy,Masahiro Shinoda,"Japan,",1965,https://www.criterion.com/films/762-samurai-spy
144,,Loves of a Blonde,Miloš Forman,"Czechoslovakia,",1965,https://www.criterion.com/films/246-loves-of-a-blonde
130,,The Shop on Main Street,Ján Kadár and Elmar Klos,"Czechoslovakia,",1965,https://www.criterion.com/films/669-the-shop-on-main-street
333,,Fists in the Pocket,Marco Bellocchio,"Italy,",1965,https://www.criterion.com/films/348-fists-in-the-pocket
1116,,The Flight of the Phoenix,Robert Aldrich,"United States,",1965,https://www.criterion.com/films/28566-the-flight-of-the-phoenix
,,Zatoichi and the Doomed Man,Kazuo Mori,"Japan,",1965,https://www.criterion.com/films/28310-zatoichi-and-the-doomed-man
,,Man Is Not a Bird,Dušan Makavejev,"Yugoslavia,",1965,https://www.criterion.com/films/3984-man-is-not-a-bird
595,,The Moment of Truth,Francesco Rosi,"Italy,",1965,https://www.criterion.com/films/27674-the-moment-of-truth
,,Circus Angel,Albert Lamorisse,"France,",1965,https://www.criterion.com/films/31471-circus-angel
280,,The Sword of Doom,Kihachi Okamoto,"Japan,",1966,https://www.criterion.com/films/925-the-sword-of-doom
131,,Closely Watched Trains,Jiří Menzel,"Czechoslovakia,",1966,https://www.criterion.com/films/212-closely-watched-trains
433,,Patriotism,Yukio Mishima and Domoto Masaki,"Japan,",1966,https://www.criterion.com/films/589-patriotism
395,,The Face of Another,Hiroshi Teshigahara,"Japan,",1966,https://www.criterion.com/films/828-the-face-of-another
830,,Chimes at Midnight,Orson Welles,"Spain,",1966,https://www.criterion.com/films/28756-chimes-at-midnight
,,Zatoichi’s Vengeance,Tokuzo Tanaka,"Japan,",1966,https://www.criterion.com/films/28312-zatoichi-s-vengeance
448,,Le deuxième souffle,Jean-Pierre Melville,"France,",1966,https://www.criterion.com/films/760-le-deuxieme-souffle
,,The Hawks and the Sparrows,Pier Paolo Pasolini,"Italy,",1966,https://www.criterion.com/films/31439-the-hawks-and-the-sparrows
308,,Masculin féminin,Jean-Luc Godard,"France,",1966,https://www.criterion.com/films/508-masculin-feminin
,,Chafed Elbows,Robert Downey Sr.,"United States,",1966,https://www.criterion.com/films/27939-chafed-elbows
,,"Ebirah, Horror of the Deep",Jun Fukuda,"Japan,",1966,https://www.criterion.com/films/30101-ebirah-horror-of-the-deep
39,,Tokyo Drifter,Seijun Suzuki,"Japan,",1966,https://www.criterion.com/films/577-tokyo-drifter
983,,War and Peace,Sergei Bondarchuk,"Soviet Union,",1966,https://www.criterion.com/films/28891-war-and-peace
766,,Here Is Your Life,Jan Troell,"Sweden,",1966,https://www.criterion.com/films/28552-here-is-your-life
701,,Persona,Ingmar Bergman,"Sweden,",1966,https://www.criterion.com/films/28491-persona
667,,Seconds,John Frankenheimer,"United States,",1966,https://www.criterion.com/films/28428-seconds
734,,The Shooting,Monte Hellman,"United States,",1966,https://www.criterion.com/films/28580-the-shooting
865,,Blow-Up,Michelangelo Antonioni,"United Kingdom,",1966,https://www.criterion.com/films/28694-blow-up
,,Wings,Larisa Shepitko,"Soviet Union,",1966,https://www.criterion.com/films/560-wings
,,Night Games,Mai Zetterling,"Sweden,",1966,https://www.criterion.com/films/30380-night-games
269,,Fighting Elegy,Seijun Suzuki,"Japan,",1966,https://www.criterion.com/films/945-fighting-elegy
878,,Law of the Border,Lütfi Ö. Akad,"Turkey,",1966,https://www.criterion.com/films/28415-law-of-the-border
,,Zatoichi’s Pilgrimage,Kazuo Ikehiro,"Japan,",1966,https://www.criterion.com/films/28318-zatoichi-s-pilgrimage
,,Paddle to the Sea,William Mason,"Canada,",1966,https://www.criterion.com/films/944-paddle-to-the-sea
852,,Black Girl,Ousmane Sembène,"Senegal,",1966,https://www.criterion.com/films/28849-black-girl
911,,The Hero,Satyajit Ray,"India,",1966,https://www.criterion.com/films/28449-the-hero
456,,The Taking of Power by Louis XIV,Roberto Rossellini,"Italy,",1966,https://www.criterion.com/films/971-the-taking-of-power-by-louis-xiv
,,As Long as You’ve Got Your Health,Pierre Etaix,"France,",1966,https://www.criterion.com/films/28399-as-long-as-you-ve-got-your-health
1157,,Daisies,Věra Chytilová,"Czechoslovakia,",1966,https://www.criterion.com/films/27854-daisies
,,Les créatures,Agnès Varda,"France,",1966,https://www.criterion.com/films/30905-les-creatures
,,Pearls of the Deep,"Jiří Menzel, Věra Chytilová, Jaromil Jireš, Jan Němec, and Evald Schorm","Czechoslovakia,",1966,https://www.criterion.com/films/27858-pearls-of-the-deep
,,"Who Are You, Polly Maggoo?",William Klein,"France,",1966,https://www.criterion.com/films/902-who-are-you-polly-maggoo
34,,Andrei Rublev,Andrei Tarkovsky,"Soviet Union,",1966,https://www.criterion.com/films/300-andrei-rublev
249,,The Battle of Algiers,Gillo Pontecorvo,"Italy,",1966,https://www.criterion.com/films/248-the-battle-of-algiers
