g-spine,g-img,g-title,g-director,g-country,g-year,link
,,No Blood Relation,Mikio Naruse,"Japan,",1932,https://www.criterion.com/films/27545-no-blood-relation
1006,,The Story of Temple Drake,Stephen Roberts,"United States,",1933,https://www.criterion.com/films/28575-the-story-of-temple-drake
,,Zéro de conduite,Jean Vigo,"France,",1933,https://www.criterion.com/films/27757-zero-de-conduite
592,,Design for Living,Ernst Lubitsch,"United States,",1933,https://www.criterion.com/films/27872-design-for-living
,,Every-Night Dreams,Mikio Naruse,"Japan,",1933,https://www.criterion.com/films/27547-every-night-dreams
,,The Private Life of Henry VIII,Alexander Korda,"United Kingdom,",1933,https://www.criterion.com/films/1433-the-private-life-of-henry-viii
79,,W. C. Fields—Six Short Films,"Monte Brice, Clyde Bruckman, Edwin Middleton, Leslie Pearce, and Arthur Ripley","United States,",1933,https://www.criterion.com/films/618-w-c-fields-six-short-films
231,,The Testament of Dr. Mabuse,Fritz Lang,"Germany,",1933,https://www.criterion.com/films/721-the-testament-of-dr-mabuse
,,Apart from You,Mikio Naruse,"Japan,",1933,https://www.criterion.com/films/27546-apart-from-you
,,Passing Fancy,Yasujiro Ozu,"Japan,",1933,https://www.criterion.com/films/924-passing-fancy
370,,The Emperor Jones,Dudley Murphy,"United States,",1933,https://www.criterion.com/films/807-the-emperor-jones
,,Japanese Girls at the Harbor,Hiroshi Shimizu,"Japan,",1933,https://www.criterion.com/films/1086-japanese-girls-at-the-harbor
,,La tête d’un homme,Julien Duvivier,"France,",1933,https://www.criterion.com/films/28027-la-tete-d-un-homme
,,Dragnet Girl,Yasujiro Ozu,"Japan,",1933,https://www.criterion.com/films/28224-dragnet-girl
643,,The Man Who Knew Too Much,Alfred Hitchcock,"United Kingdom,",1934,https://www.criterion.com/films/27999-the-man-who-knew-too-much
1048,,Dos monjes,Juan Bustillo Oro,"Mexico,",1934,https://www.criterion.com/films/30306-dos-monjes
736,,It Happened One Night,Frank Capra,"United States,",1934,https://www.criterion.com/films/27900-it-happened-one-night
,,Les misérables,Raymond Bernard,"France,",1934,https://www.criterion.com/films/879-les-miserables
109,,The Scarlet Empress,Josef von Sternberg,"United States,",1934,https://www.criterion.com/films/431-the-scarlet-empress
,,L’Atalante,Jean Vigo,"France,",1934,https://www.criterion.com/films/27758-l-atalante
1167,,Imitation of Life,John M. Stahl,"United States,",1934,https://www.criterion.com/films/30461-imitation-of-life
,,Street Without End,Mikio Naruse,"Japan,",1934,https://www.criterion.com/films/27548-street-without-end
,,The Private Life of Don Juan,Alexander Korda,"United Kingdom,",1934,https://www.criterion.com/films/1436-the-private-life-of-don-juan
,,The Rise of Catherine the Great,Paul Czinner,"United Kingdom,",1934,https://www.criterion.com/films/1434-the-rise-of-catherine-the-great
,,A Story of Floating Weeds,Yasujiro Ozu,"Japan,",1934,https://www.criterion.com/films/752-a-story-of-floating-weeds
,,Walpurgis Night,Gustaf Edgren,"Sweden,",1935,https://www.criterion.com/films/29437-walpurgis-night
935,,The Devil Is a Woman,Josef von Sternberg,"United States,",1935,https://www.criterion.com/films/28983-the-devil-is-a-woman
,,The Count of the Old Town,Edvin Adolphson and Sigurd Wallén,"Sweden,",1935,https://www.criterion.com/films/28866-the-count-of-the-old-town
372,,Sanders of the River,Zoltán Korda,"United Kingdom,",1935,https://www.criterion.com/films/811-sanders-of-the-river
1040,,Toni,Jean Renoir,"France,",1935,https://www.criterion.com/films/27975-toni
56,,The 39 Steps,Alfred Hitchcock,"United Kingdom,",1935,https://www.criterion.com/films/234-the-39-steps
660,,Things to Come,William Cameron Menzies,"United Kingdom,",1936,https://www.criterion.com/films/27552-things-to-come
,,The Lower Depths,Jean Renoir,"France,",1936,https://www.criterion.com/films/870-the-lower-depths
543,,Modern Times,Charles Chaplin,"United States,",1936,https://www.criterion.com/films/27526-modern-times
,,Osaka Elegy,Kenji Mizoguchi,"Japan,",1936,https://www.criterion.com/films/968-osaka-elegy
,,Rembrandt,Alexander Korda,"United Kingdom,",1936,https://www.criterion.com/films/1437-rembrandt
114,,My Man Godfrey,Gregory La Cava,"United States,",1936,https://www.criterion.com/films/653-my-man-godfrey
1021,,Show Boat,James Whale,"United States,",1936,https://www.criterion.com/films/29035-show-boat
746,,A Day in the Country,Jean Renoir,"France,",1936,https://www.criterion.com/films/28072-a-day-in-the-country
686,,Redes,Emilio Gómez Muriel…,"Mexico,",1936,https://www.criterion.com/films/28408-redes
,,Intermezzo,Gustaf Molander,"Sweden,",1936,https://www.criterion.com/films/28871-intermezzo
979,,Swing Time,George Stevens,"United States,",1936,https://www.criterion.com/films/29037-swing-time
,,Mr. Thank You,Hiroshi Shimizu,"Japan,",1936,https://www.criterion.com/films/1087-mr-thank-you
,,Sisters of the Gion,Kenji Mizoguchi,"Japan,",1936,https://www.criterion.com/films/967-sisters-of-the-gion
525,,The Only Son,Yasujiro Ozu,"Japan,",1936,https://www.criterion.com/films/2606-the-only-son
884,,César,Marcel Pagnol,"France,",1936,https://www.criterion.com/films/28859-cesar
,,The Story of a Cheat,Sacha Guitry,"France,",1936,https://www.criterion.com/films/21815-the-story-of-a-cheat
,,Mayerling,Anatole Litvak,"France,",1936,https://www.criterion.com/films/3562-mayerling
172,,Pépé le moko,Julien Duvivier,"France,",1937,https://www.criterion.com/films/363-pepe-le-moko
,,Elephant Boy,Robert Flaherty and Zoltán Korda,"United Kingdom,",1937,https://www.criterion.com/films/27564-elephant-boy
1,,Grand Illusion,Jean Renoir,"France,",1937,https://www.criterion.com/films/351-grand-illusion
,,Désiré,Sacha Guitry,"France,",1937,https://www.criterion.com/films/26184-desire
,,The Pearls of the Crown,Sacha Guitry,"France,",1937,https://www.criterion.com/films/3831-the-pearls-of-the-crown
1072,,History Is Made at Night,Frank Borzage,"United States,",1937,https://www.criterion.com/films/27770-history-is-made-at-night
,,Un carnet de bal,Julien Duvivier,"France,",1937,https://www.criterion.com/films/27791-un-carnet-de-bal
505,,Make Way for Tomorrow,Leo McCarey,"United States,",1937,https://www.criterion.com/films/2350-make-way-for-tomorrow
917,,The Awful Truth,Leo McCarey,"United States,",1937,https://www.criterion.com/films/27904-the-awful-truth
,,Jericho,Thornton Freeland,"United Kingdom,",1937,https://www.criterion.com/films/812-jericho
,,A Woman’s Face,Gustaf Molander,"Sweden,",1938,https://www.criterion.com/films/28872-a-woman-s-face
,,The Masseurs and a Woman,Hiroshi Shimizu,"Japan,",1938,https://www.criterion.com/films/1088-the-masseurs-and-a-woman
986,,The Baker’s Wife,Marcel Pagnol,"France,",1938,https://www.criterion.com/films/29390-the-baker-s-wife
,,The Drum,Zoltán Korda,"United Kingdom,",1938,https://www.criterion.com/films/27599-the-drum
85,,Pygmalion,Anthony Asquith and Leslie Howard,"United Kingdom,",1938,https://www.criterion.com/films/365-pygmalion
3,,The Lady Vanishes,Alfred Hitchcock,"United Kingdom,",1938,https://www.criterion.com/films/358-the-lady-vanishes
1139,,Hôtel du Nord,Marcel Carné,"France,",1938,https://www.criterion.com/films/27721-hotel-du-nord
1085,,Bringing Up Baby,Howard Hawks,"United States,",1938,https://www.criterion.com/films/29010-bringing-up-baby
245,,Port of Shadows,Marcel Carné,"France,",1938,https://www.criterion.com/films/947-port-of-shadows
87,,Alexander Nevsky,Sergei Eisenstein,"Soviet Union,",1938,https://www.criterion.com/films/341-alexander-nevsky
324,,La bête humaine,Jean Renoir,"France,",1938,https://www.criterion.com/films/773-la-bete-humaine
1009,,Holiday,George Cukor,"United States,",1938,https://www.criterion.com/films/28829-holiday
,,Dollar,Gustaf Molander,"Sweden,",1938,https://www.criterion.com/films/28868-dollar
,,Quadrille,Sacha Guitry,"France,",1938,https://www.criterion.com/films/26185-quadrille
583,,The Four Feathers,Zoltán Korda,"United Kingdom,",1939,https://www.criterion.com/films/27555-the-four-feathers
,,Le jour se lève,Marcel Carné,"France,",1939,https://www.criterion.com/films/356-le-jour-se-leve
806,,Only Angels Have Wings,Howard Hawks,"United States,",1939,https://www.criterion.com/films/28831-only-angels-have-wings
320,,Young Mr. Lincoln,John Ford,"United States,",1939,https://www.criterion.com/films/766-young-mr-lincoln
