file,synopsis,genres,amazon_rating,global_ratings,error,imdb-rating-badge,runtime-badge,release-year-badge,rating-badge,link,x-ray-badge,uhd-badge,hdr-badge
1199_Njambi_McGrath_One_Last_Dance_With_My_Father.html,"Njambi's darkly comic, bittersweet ode to her abusive father is hard hitting comedy at its best. Spanning global topics like colonialism, the wealth divide, and Trump's wall to the more intimate hilarity found within a family wedding, Njambi takes us on a rollercoaster that will make you laugh (and probably cry) at every turn.","Comedy,Arts, Entertainment, and Culture",,,1,,50min,2020,18+,/gp/video/detail/B0B8T485TD/ref=atv_dp_atf_prime_sd_mv_play_t1A3AAAAAA0wr0?autoplay=1&t=0,,,
119_The_Domestic.html,"A married couple Kat and Tumi hire the daughter of their recently deceased housekeeper Blessing, as their new helper. It isn't long before Kat realizes Blessing has embraced her African traditions, the traditions that once caused Kat trauma in the past and has tried her best to reject it. Things soon take a dark and macabre turn, her past catches up with her and destruction begins from within.","Drama,Horror",Rated 3.3 out of 5 stars by 5 Amazon customers.,5,1,IMDb 4.1,1 h 56 min,2022,16+,/gp/video/detail/B0B8N3Y5YL/ref=atv_dp_atf_prime_sd_mv_play_t1A3AAAAAA0wr0?autoplay=1&t=0,,,
1200_Summer_School.html,"Levi is set to go to college with a tennis scholarship - only problem, he didn't graduate and has to pass summer school first.",Comedy,,,1,,1 h 24 min,2022,18+,/gp/video/detail/B0B8JQVHL2/ref=atv_dp_atf_prime_sd_mv_play_t1A3AAAAAA0wr0?autoplay=1&t=0,,,
1201_I_Heard_Sarah.html,"Ian is a troubled rock star who busts out of rehab and goes on the run to his hometown to see his best friend and former bandmate. While Ian's been touring the past 6 years, Josh gave up his dream, got married and is teaching music classes. Ian's arrival throws Josh's world into turmoil and when Ian finally reveals a deadly secret, they must both face their truth.","Suspense,Drama",Rated 5 out of 5 stars by 4 Amazon customers.,4,1,,1 h 12 min,2022,18+,/gp/video/detail/B0B8J25XTR/ref=atv_dp_atf_prime_sd_mv_play_t1A3AAAAAA0wr0?autoplay=1&t=0,,,
1202_Cocoa.html,"Two sisters bumble their way into a sweet, chocolate revenge.","Comedy,Drama",Rated 4.5 out of 5 stars by 16 Amazon customers.,16,1,IMDb 5.6,1 h 34 min,2023,13+,/gp/video/detail/B0B8TRBQ3C/ref=atv_dp_atf_prime_sd_mv_play_t1A3AAAAAA0wr0?autoplay=1&t=0,,,
1203_Alexs_Strip.html,"A teenager is reunited with her father, a Spanish merchant who has spent a long time in jail accused of Jihadism by mistake. She accompanies him on a business trip to India, where an unexpected turn of events threatens to separate them again.","Suspense,Drama,Action",Rated 3.6 out of 5 stars by 12 Amazon customers.,12,1,IMDb 5.7,1 h 49 min,2020,16+,/gp/video/detail/B09JWLCYZ7/ref=atv_dp_atf_prime_sd_mv_play_t1A3AAAAAA0wr0?autoplay=1&t=0,,,
1204_Six_Three_Times.html,A peaceful journey becomes a hikers nightmare as he encounters several disturbing interactions from obscured wanderers. An adaptation of Jesus in the wilderness in the 21st Century.,Drama,Rated 3 out of 5 stars by 4 Amazon customers.,4,1,IMDb 5.3,50min,2021,16+,/gp/video/detail/B09HLBX2QC/ref=atv_dp_atf_prime_sd_mv_play_t1ATAAAAAA0wr0?autoplay=1&t=0,,,
1205_President_Obonjo_Goodbye_Mr_President.html,President Obonjo is a 55 year old dictator of the Lafta Republic who came to UK and has been leading a covert revolution to become the first President to take the UK comedy industry by storm.,"Comedy,Arts, Entertainment, and Culture",,,1,,47min,2020,18+,/gp/video/detail/B0B8S1XQPB/ref=atv_dp_atf_prime_sd_mv_play_t1A3AAAAAA0wr0?autoplay=1&t=0,,,
1206_Darkeplica.html,Penelope becomes obsessed with finding her children as her world crumbles and she succumbs to the emotional stress and the silent voices of her new reality. Her husband believes she has lost her mind and watches her deteriorate into a world of darkness.,"Suspense,Drama",,,1,IMDb 3.4,1 h 33 min,2023,16+,/gp/video/detail/B0B76BDGXL/ref=atv_dp_atf_prime_sd_mv_play_t1A3AAAAAA0wr0?autoplay=1&t=0,,,
1207_The_Center_Gibbons_and_Guardians.html,"The Gibbon Conservation Center staff overcomes challenges, and in the process finds courage, laughter, and even romance.",Documentary,Rated 5 out of 5 stars by 5 Amazon customers.,5,1,,1 h 2 min,2021,7+,/gp/video/detail/B0B6RBNDXW/ref=atv_dp_atf_prime_sd_mv_play_t1A3AAAAAA0wr0?autoplay=1&t=0,,,
