title,link,tags,year,clean_title,fname,short_url,clean_short_url
Chasing the Dragon,/Chasing-Dragon-Donnie-Yen/dp/B078NLX6KK/ref=sr_1_1697?qid=1691311532&refinements=p_n_ways_to_watch%3A12007865011%2Cp_n_entity_type%3A14069184011%2Cp_n_feature_three_browse-bin%3A2651255011&rnid=2651254011&s=instant-video&sr=1-1697,2017|CC,2017.0,Chasing_the_Dragon,144_Chasing_the_Dragon,/Chasing-Dragon-Donnie-Yen/,/Chasing-Dragon-Donnie-Yen/
Mar Negro,/Mar-Negro-Kika-Oliveira/dp/B09HR4XPYJ/ref=sr_1_1708?qid=1691311532&refinements=p_n_ways_to_watch%3A12007865011%2Cp_n_entity_type%3A14069184011%2Cp_n_feature_three_browse-bin%3A2651255011&rnid=2651254011&s=instant-video&sr=1-1708,2013|CC,2013.0,Mar_Negro,155_Mar_Negro,/Mar-Negro-Kika-Oliveira/,/Mar-Negro-Kika-Oliveira/
Glutton for Punishment,/Christian-Pieper-Glutton-Punishment/dp/B09H3PGV6S/ref=sr_1_1718?qid=1691311535&refinements=p_n_ways_to_watch%3A12007865011%2Cp_n_entity_type%3A14069184011%2Cp_n_feature_three_browse-bin%3A2651255011&rnid=2651254011&s=instant-video&sr=1-1718,2017|TV-PG|CC,2017.0,Glutton_for_Punishment,165_Glutton_for_Punishment,/Christian-Pieper-Glutton-Punishment/,/Christian-Pieper-Glutton-Punishment/
Madigan Again,/Kathleen-Madigan-Again/dp/B0C8WRYW6M/ref=sr_1_1724?qid=1691311535&refinements=p_n_ways_to_watch%3A12007865011%2Cp_n_entity_type%3A14069184011%2Cp_n_feature_three_browse-bin%3A2651255011&rnid=2651254011&s=instant-video&sr=1-1724,2013|NR|CC,2013.0,Madigan_Again,171_Madigan_Again,/Kathleen-Madigan-Again/,/Kathleen-Madigan-Again/
Best Night Ever,/Best-Night-Ever-Desiree-Hall/dp/B00H89MUWW/ref=sr_1_1752?qid=1691311540&refinements=p_n_ways_to_watch%3A12007865011%2Cp_n_entity_type%3A14069184011%2Cp_n_feature_three_browse-bin%3A2651255011&rnid=2651254011&s=instant-video&sr=1-1752,2013|R|CC,2013.0,Best_Night_Ever,215_Best_Night_Ever,/Best-Night-Ever-Desiree-Hall/,/Best-Night-Ever-Desiree-Hall/
"Royal Family, The: Affairs & Infidelities",/Royal-Family-Infidelities-Paula-Bacon/dp/B0BX9SNNWX/ref=sr_1_1755?qid=1691311540&refinements=p_n_ways_to_watch%3A12007865011%2Cp_n_entity_type%3A14069184011%2Cp_n_feature_three_browse-bin%3A2651255011&rnid=2651254011&s=instant-video&sr=1-1755,2019|CC,2019.0,Royal_Family_The_Affairs__Infidelities,218_Royal_Family_The_Affairs__Infidelities,/Royal-Family-Infidelities-Paula-Bacon/,/Royal-Family-Infidelities-Paula-Bacon/
Haq Se Single,/Zakir-Khan-Haq-Se-Single/dp/B073W159N1/ref=sr_1_1762?qid=1691311542&refinements=p_n_ways_to_watch%3A12007865011%2Cp_n_entity_type%3A14069184011%2Cp_n_feature_three_browse-bin%3A2651255011&rnid=2651254011&s=instant-video&sr=1-1762,2017|R|CC,2017.0,Haq_Se_Single,225_Haq_Se_Single,/Zakir-Khan-Haq-Se-Single/,/Zakir-Khan-Haq-Se-Single/
Paranoid (Classic Album),/Black-Sabbath-Paranoid-Classic-Album/dp/B0B6RNPK5J/ref=sr_1_1776?qid=1691311542&refinements=p_n_ways_to_watch%3A12007865011%2Cp_n_entity_type%3A14069184011%2Cp_n_feature_three_browse-bin%3A2651255011&rnid=2651254011&s=instant-video&sr=1-1776,2010|CC,2010.0,Paranoid_Classic_Album,239_Paranoid_Classic_Album,/Black-Sabbath-Paranoid-Classic-Album/,/Black-Sabbath-Paranoid-Classic-Album/
Live from the Kennedy Center with the National Symphony Orchestra,/Kennedy-Center-National-Symphony-Orchestra/dp/B07J327JX2/ref=sr_1_1778?qid=1691311544&refinements=p_n_ways_to_watch%3A12007865011%2Cp_n_entity_type%3A14069184011%2Cp_n_feature_three_browse-bin%3A2651255011&rnid=2651254011&s=instant-video&sr=1-1778,2018|CC,2018.0,Live_from_the_Kennedy_Center_with_the_National_Symphony_Orchestra,241_Live_from_the_Kennedy_Center_with_the_National_Symphony_Orchestra,/Kennedy-Center-National-Symphony-Orchestra/,/Kennedy-Center-National-Symphony-Orchestra/
Kuldip Patwal - I Didn't Do It,/Kuldip-Patwal-I-Didnt-Do/dp/B093DXH83M/ref=sr_1_1780?qid=1691311544&refinements=p_n_ways_to_watch%3A12007865011%2Cp_n_entity_type%3A14069184011%2Cp_n_feature_three_browse-bin%3A2651255011&rnid=2651254011&s=instant-video&sr=1-1780,2018|CC,2018.0,Kuldip_Patwal__I_Didnt_Do_It,243_Kuldip_Patwal__I_Didnt_Do_It,/Kuldip-Patwal-I-Didnt-Do/,/Kuldip-Patwal-I-Didnt-Do/
Big Eyes,/Big-Eyes-Amy-Adams/dp/B08RHMJ8MM/ref=sr_1_1786?qid=1691311544&refinements=p_n_ways_to_watch%3A12007865011%2Cp_n_entity_type%3A14069184011%2Cp_n_feature_three_browse-bin%3A2651255011&rnid=2651254011&s=instant-video&sr=1-1786,2014|PG-13|CC,2014.0,Big_Eyes,249_Big_Eyes,/Big-Eyes-Amy-Adams/,/Big-Eyes-Amy-Adams/
Sticky Change,/Josh-Blue-Sticky-Change/dp/B07LGFYPYR/ref=sr_1_1798?qid=1691311546&refinements=p_n_ways_to_watch%3A12007865011%2Cp_n_entity_type%3A14069184011%2Cp_n_feature_three_browse-bin%3A2651255011&rnid=2651254011&s=instant-video&sr=1-1798,2012|CC,2012.0,Sticky_Change,261_Sticky_Change,/Josh-Blue-Sticky-Change/,/Josh-Blue-Sticky-Change/
Great Pretenders Club,/Pop-Ups-Great-Pretenders-Club/dp/B019P9HIZ6/ref=sr_1_1807?qid=1691311546&refinements=p_n_ways_to_watch%3A12007865011%2Cp_n_entity_type%3A14069184011%2Cp_n_feature_three_browse-bin%3A2651255011&rnid=2651254011&s=instant-video&sr=1-1807,2015|NR|CC,2015.0,Great_Pretenders_Club,270_Great_Pretenders_Club,/Pop-Ups-Great-Pretenders-Club/,/Pop-Ups-Great-Pretenders-Club/
Unbanned: The Legend of AJ1,/Unbanned-Legend-AJ1-Michael-Jordan/dp/B0CBNRLFXZ/ref=sr_1_1850?qid=1691311553&refinements=p_n_ways_to_watch%3A12007865011%2Cp_n_entity_type%3A14069184011%2Cp_n_feature_three_browse-bin%3A2651255011&rnid=2651254011&s=instant-video&sr=1-1850,2019|G|CC,2019.0,Unbanned_The_Legend_of_AJ1,313_Unbanned_The_Legend_of_AJ1,/Unbanned-Legend-AJ1-Michael-Jordan/,/Unbanned-Legend-AJ1-Michael-Jordan/
Keep It Real,/Kanan-Gill-Keep-Real/dp/B07121KNDB/ref=sr_1_1855?qid=1691311553&refinements=p_n_ways_to_watch%3A12007865011%2Cp_n_entity_type%3A14069184011%2Cp_n_feature_three_browse-bin%3A2651255011&rnid=2651254011&s=instant-video&sr=1-1855,2017|R|CC,2017.0,Keep_It_Real,318_Keep_It_Real,/Kanan-Gill-Keep-Real/,/Kanan-Gill-Keep-Real/
Wake N Bake,/Rohan-Joshi-Wake-N-Bake/dp/B083JVKF3F/ref=sr_1_1856?qid=1691311553&refinements=p_n_ways_to_watch%3A12007865011%2Cp_n_entity_type%3A14069184011%2Cp_n_feature_three_browse-bin%3A2651255011&rnid=2651254011&s=instant-video&sr=1-1856,2019|CC,2019.0,Wake_N_Bake,319_Wake_N_Bake,/Rohan-Joshi-Wake-N-Bake/,/Rohan-Joshi-Wake-N-Bake/
