file,synopsis,genres,amazon_rating,global_ratings,error,imdb-rating-badge,runtime-badge,release-year-badge,rating-badge,link,x-ray-badge,uhd-badge,hdr-badge
828_Love_Life__Pakodi.html,"Love Life & Pakodi is a unique new age love story that deals with the journey of a couple, Arun and Rheya, whose relationship starts simple and reaches a complicated phase. They face the hurdles and honestly rediscover themselves at every step. With certainly 'Not a Typical 'Boy meets Girl story' , this film explores a unique perspective on ""Love"" and ""Life"" with an interesting treatment.","Comedy,Romance",Rated 3 out of 5 stars by 38 Amazon customers.,38,1,IMDb 5.4,1 h 54 min,2021,18+,/gp/video/detail/B092RR1QH5/ref=atv_dp_atf_prime_sd_mv_play_t1A3AAAAAA0wr0?autoplay=1&t=0,X-Ray,,
851_Eye_Without_a_Face.html,"Henry, an agoraphobic young man in LA hacks the webcams of various young women in the city. As his roommate Eric encourages him to meet them in person and Henry begins to suspect a woman he watches, Laura, of murder, everything unravels.","Suspense,Horror",Rated 3.6 out of 5 stars by 43 Amazon customers.,43,1,IMDb 3.8,1 h 38 min,2021,16+,/gp/video/detail/B09CK7LRHV/ref=atv_dp_atf_prime_sd_mv_play_t1A3AAAAAA0wr0?autoplay=1&t=0,X-Ray,,
860_Friendship.html,"Set in college, Friendship is an emotional saga where two friends go out of their way to help a girl get justice, who is sexually abused and killed by goons. Will they succeed? After all, justice delayed is justice denied.","Drama,Sports",Rated 1.6 out of 5 stars by 6 Amazon customers.,6,1,IMDb 5.4,1 h 53 min,2021,13+,/gp/video/detail/B09HV9Q9G8/ref=atv_dp_atf_prime_sd_mv_play_t1A3AAAAAA0wr0?autoplay=1&t=0,X-Ray,,
868_Only.html,"After a mysterious plague threatens to kill all women on the planet, a couple is put to the ultimate test as they try to survive.","Science Fiction,Suspense",Rated 4 out of 5 stars by 755 Amazon customers.,755,1,IMDb 5.1,1 h 37 min,2020,16+,/gp/video/detail/B085PWDYFV/ref=atv_dp_atf_prime_sd_mv_play_t1A3AAAAAA0wr0?autoplay=1&t=0,X-Ray,,
872_Goodbye_Honey.html,"After escaping abduction, a frantic woman must coerce an exhausted truck driver to hide in the back of her truck for the night. The two women take refuge not knowing what the rest of the night has in store.",Suspense,Rated 3.7 out of 5 stars by 79 Amazon customers.,79,1,IMDb 4.3,1 h 36 min,2021,18+,/gp/video/detail/B0917QHDQP/ref=atv_dp_atf_prime_sd_mv_play_t1A3AAAAAA0wr0?autoplay=1&t=0,X-Ray,,
873_Knifecorp.html,"A group of young salespeople, peddling high-end knives door-to-door, unwittingly target a wrathful recluse (Kane Hodder), unleashing his sinister intentions to employ their own wares against them.","Suspense,Horror",Rated 3.4 out of 5 stars by 34 Amazon customers.,34,1,IMDb 4.6,1 h 27 min,2021,16+,/gp/video/detail/B09771FR69/ref=atv_dp_atf_prime_sd_mv_play_t1B3AAAAAA0wr0?autoplay=1&t=0,X-Ray,,
892_APACHE_STAYS_APACHE.html,"With 10 number one hits and more than 2 billion streams, rap superstar Apache 207 remains an enigma. Now, he breaks his silence and grants access to camera crews. This compelling documentary shows his life from plattenbau to luxury mansions, from loneliness to sold-out stadiums, and his relationships with his family, best friends and rap icons Loredana, BAUSA and XATAR.",Documentary,Rated 5 out of 5 stars by 3 Amazon customers.,3,1,IMDb 6.8,1 h 28 min,2022,13+,/gp/video/detail/B0B8T9VHPW/ref=atv_dp_atf_prime_sd_mv_play_t1ADAAAAAA0wr0?autoplay=1&t=0,X-Ray,UHD,HDR
898_Unhinged.html,"Academy Award(c) winner, Russell Crowe, stars in Unhinged, an edge-of-your-seat thriller about something we have all experienced - road rage.","Suspense,Action",Rated 4.4 out of 5 stars by 73684 Amazon customers.,"73,684",1,IMDb 6.0,1 h 30 min,2020,R,/gp/video/detail/B08LBR5TXM/ref=atv_dp_atf_prime_sd_mv_play_t1A3AAAAAA0wr0?autoplay=1&t=0,X-Ray,,
8_Babylon.html,"A silent film superstar, a young starlet, a production executive, and a musical sensation strive to stay on top of the 1920s Hollywood scene while maintaining relevance in an industry ready to move on to the next best thing.","Comedy,Drama,Historical",Rated 3.5 out of 5 stars by 2006 Amazon customers.,"2,006",1,IMDb 7.2,3 h 7 min,2022,R,/gp/video/detail/B0B67D4LSS/ref=atv_dp_atf_prime_sd_mv_play_t1B3AAAAAA0wr0?autoplay=1&t=0,X-Ray,UHD,HDR
900_The_Many_Saints_Of_Newark.html,"""The Many Saints of Newark"" is the much-anticipated feature film prequel to the award-winning HBO series The Sopranos. Rival gangsters rise to challenge the powerful DiMeo crime family.","Suspense,Drama",Rated 3.9 out of 5 stars by 5581 Amazon customers.,"5,581",1,IMDb 6.3,2h,2021,18+,/gp/video/detail/B09LLZC6PG/ref=atv_dp_atf_prime_sd_mv_play_t1A3AAAAAA0wr0?autoplay=1&t=0,X-Ray,UHD,HDR
907_The_Protege.html,"Michael Keaton, Maggie Q, and Samuel L. Jackson lead this high-octane action-thriller from the director of Casino Royale about a contract killer out to avenge her mentor's murder.","Suspense,Action",Rated 4.3 out of 5 stars by 17114 Amazon customers.,"17,114",1,IMDb 6.1,1 h 44 min,2021,R,/gp/video/detail/B09FKSV56Y/ref=atv_dp_atf_prime_sd_mv_play_t1A3AAAAAA0wr0?autoplay=1&t=0,X-Ray,UHD,HDR
914_Radhe_Shyam_Kannada.html,"A love story of two individuals who are poles apart in their approach to life. Vikram Aditya a renowned Palmist who does not believe in love but believes in the language of stars, fate, destiny falls in love with Prerna who believes more in science than destiny and fate.","Drama,Romance,Action",Rated 2.7 out of 5 stars by 136 Amazon customers.,136,1,IMDb 5.3,2 h 15 min,2022,13+,/gp/video/detail/B09HZ2MVF9/ref=atv_dp_atf_prime_sd_mv_play_t1ADAAAAAA0wr0?autoplay=1&t=0,X-Ray,UHD,
917_Silence_Malayalam.html,A murder-mystery thriller. A world-famous cello player is murdered and crucified in a Seattle Villa that has a reputation for being haunted. His friends and family try to figure out if he was really killed by a supernatural being or if he was assassinated by someone he knows. His dumb and deaf wife and a police detective are pinned against each other as they discover the victim's dark past.,"Suspense,Horror",Rated 2.2 out of 5 stars by 87 Amazon customers.,87,1,IMDb 4.4,2 h 5 min,2020,16+,/gp/video/detail/B08K7LC7SV/ref=atv_dp_atf_prime_sd_mv_play_t1ADAAAAAA0wr0?autoplay=1&t=0,X-Ray,UHD,
919_Adimurai.html,An ancient Martial art form of Tamilnadu is in the verge of extinction. The hero wants to make it popular yet again among the current generation showcasing it's rich values & merits. Will the hero be able to accomplish his desire ?,"Drama,Action",,,1,,2 h 20 min,2020,ALL,/gp/video/detail/B08KWPKLGK/ref=atv_dp_atf_prime_sd_mv_play_t1ADAAAAAA0wr0?autoplay=1&t=0,X-Ray,,
922_Penguin_Tamil.html,"Rhythm, leading a happy life and about to have her second child, is traumatized by the nightmares in which she sees an umbrella man harming her lost son. She sets off on a dangerous journey, along with her trained dog, to unravel the secrets behind the nightmares and to protect her loved ones.","Suspense,Drama",Rated 2.1 out of 5 stars by 304 Amazon customers.,304,1,IMDb 4.5,2 h 12 min,2020,16+,/gp/video/detail/B08KWQNWVG/ref=atv_dp_atf_prime_sd_mv_play_t1ADAAAAAA0wr0?autoplay=1&t=0,X-Ray,,
931_Muddy_Tamil.html,Muddy portrays the rivalry between two blood ties named Muthu and Karthy. This combines three unique mud races where a new villain Tony comes in between. Will the three of them be able to defeat each other and who will win the final race is the rest of the story.,"Sports,International,Action",Rated 3.3 out of 5 stars by 9 Amazon customers.,9,1,IMDb 6.1,2 h 7 min,2021,13+,/gp/video/detail/B09QGQRZMS/ref=atv_dp_atf_prime_sd_mv_play_t1ADAAAAAA0wr0?autoplay=1&t=0,X-Ray,,
932_Muddy_Kannada.html,Muddy portrays the rivalry between two blood ties named Muthu and Karthy. This combines three unique mud races where a new villain Tony comes in between. Will the three of them be able to defeat each other and who will win the final race is the rest of the story.,"Suspense,Sports,Adventure",Rated 3.3 out of 5 stars by 9 Amazon customers.,9,1,IMDb 6.1,2 h 7 min,2021,13+,/gp/video/detail/B09QD7HSKJ/ref=atv_dp_atf_prime_sd_mv_play_t1ADAAAAAA0wr0?autoplay=1&t=0,X-Ray,,
935_No_Mans_Land.html,"Working as a housekeeper, Sumitra trudges along with her uneventful life in a resort at a hill station in Kerala. Haunted with self-pity, she finds solace in her lifestyle. Her life spirals down to the seventh ring of hell the day a duo rents a room in the resort she works at.","Suspense,Drama",Rated 3 out of 5 stars by 2 Amazon customers.,2,1,IMDb 5.7,1 h 53 min,2021,18+,/gp/video/detail/B09LT2P8NW/ref=atv_dp_atf_prime_sd_mv_play_t1ADAAAAAA0wr0?autoplay=1&t=0,X-Ray,,
953_13aam_Number_Veedu.html,"5 IT professionals staying together vacate their house due to a situation. They move into a new house were they start facing horrific incidents at night. It terrifies them to death. When they are about to find out what's happening, they are getting killed one after another. Now they have to find out if it's really haunted or someone planning the terror.","Suspense,Horror",Rated 2.1 out of 5 stars by 3 Amazon customers.,3,1,IMDb 3.0,1 h 45 min,2020,16+,/gp/video/detail/B08P2HM7DW/ref=atv_dp_atf_prime_sd_mv_play_t1ADAAAAAA0wr0?autoplay=1&t=0,X-Ray,,
974_Killer_Concept.html,"Three creatives team up to write a screenplay chronicling a string of murders in their town, but one of the three may be closer to the story than the others realize.","Suspense,Comedy,Horror",Rated 4 out of 5 stars by 71 Amazon customers.,71,1,IMDb 4.9,1 h 20 min,2021,16+,/gp/video/detail/B094Q1HNWR/ref=atv_dp_atf_prime_sd_mv_play_t1A3AAAAAA0wr0?autoplay=1&t=0,X-Ray,,
975_Ombatthane_Dikku.html,"Varadappa, a sawmill owner and rural don sends his trustworthy friend Vasudev to close a deal worth a lot of money with Loki, an associate of his in Bangalore. Vasudev's son Channakeshava finds out that his father has been missing since the deal.","Suspense,Drama",Rated 3 out of 5 stars by 8 Amazon customers.,8,1,IMDb 4.6,2 h 12 min,2022,13+,/gp/video/detail/B09SGV3NLR/ref=atv_dp_atf_prime_sd_mv_play_t1ADAAAAAA0wr0?autoplay=1&t=0,X-Ray,,
978_Bannerghatta.html,"One night Ashiq gets a shocking call from his sister, who is out of town for a job interview . There she is being chased by some strangers and suddenly her phone gets switched off.  Story rolls by the acts of Ashiq to save his sister, who is 400 km away.","Drama,Adventure,Horror,Suspense",Rated 2.1 out of 5 stars by 13 Amazon customers.,13,1,IMDb 5.1,1 h 20 min,2021,13+,/gp/video/detail/B099TTDG3W/ref=atv_dp_atf_prime_sd_mv_play_t1A3AAAAAA0wr0?autoplay=1&t=0,X-Ray,,
985_Chain_reaction.html,"Guilherme is an honest family man. Exemplary auditor, no misappropriation of money escapes your scrutiny. Suddenly his life takes a turn: his wife asks for a divorce and he gets a promotion at work, and he meets an old crush, Lara. He discovers that his new boss runs a powerful embezzlement scheme to buy deputies. Guilherme decides to turn the game around.","Drama,Adventure",Rated 4.6 out of 5 stars by 58 Amazon customers.,58,1,IMDb 5.1,1 h 41 min,2021,16+,/gp/video/detail/B09MF9X166/ref=atv_dp_atf_prime_sd_mv_play_t1ADAAAAAA0wr0?autoplay=1&t=0,X-Ray,,
995_Warriors_on_the_Field.html,"Through the lens of sport, AFL legend Michael O'Loughlin shines a light on the history and experience of the Indigenous Australian people. Current AFL players, Michael Walters and Tarryn Thomas, join O'Loughlin to unpack racism, discrimination and the unbreakable bond they each share with their indigenous communities.",Documentary,Rated 5 out of 5 stars by 1 Amazon customers.,1,1,IMDb 6.3,50min,2022,13+,/gp/video/detail/B09WGR9RGP/ref=atv_dp_atf_prime_sd_mv_play_t1ADAAAAAA0wr0?autoplay=1&t=0,X-Ray,UHD,
9_Till.html,"The true story of Mamie Till-Mobley's relentless pursuit of justice for her 14-year-old son, Emmett Till, who, in 1955, was lynched while visiting his cousins in Mississippi.","Historical,Drama",Rated 4.8 out of 5 stars by 5949 Amazon customers.,"5,949",1,IMDb 7.2,2 h 10 min,2022,PG-13,/gp/video/detail/B0B6YZ3SPR/ref=atv_dp_atf_prime_sd_mv_play_t1BDAAAAAA0wr0?autoplay=1&t=0,X-Ray,UHD,
