file,synopsis,genres,amazon_rating,global_ratings,error,imdb-rating-badge,runtime-badge,release-year-badge,rating-badge,link,x-ray-badge,uhd-badge,hdr-badge
1735_Only_Cloud_Knows.html,"In this poignant romantic drama, a Chinese man mourning the death of his wife returns to New Zealand to revisit their memories together--and discovers that she harbored a number of secrets.","Drama,Romance",Rated 4.3 out of 5 stars by 14 Amazon customers.,14,1,IMDb 6.1,2 h 11 min,2019,13+,/gp/video/detail/B0991FZK1C/ref=atv_dp_atf_prime_sd_mv_play_t1A3AAAAAA0wr0?autoplay=1&t=0,,,
1736_The_Road_to_Edmond.html,"Imagine a youth pastor whose support for a gay teen puts his job in jeopardy. After the church puts him in a two-week Jesus timeout, he hits the road, and all kinds of craziness ensues causing him to question faith, sexuality, and Jesus.","Drama,LGBTQ",Rated 4 out of 5 stars by 108 Amazon customers.,108,1,,2 h 5 min,2018,18+,/gp/video/detail/B082VFD4PK/ref=atv_dp_atf_prime_sd_mv_play_t1B3AAAAAA0wr0?autoplay=1&t=0,,,
1737_Under_The_Smoky_Roof.html,"One day you look and see it seems nobody sees you, even your spouse! Look well, maybe ... The first one who didn't see you were you, yourself, under this smoky roof",Drama,Rated 4.8 out of 5 stars by 4 Amazon customers.,4,1,IMDb 5.4,1 h 50 min,2017,13+,/gp/video/detail/B0999S27RB/ref=atv_dp_atf_prime_sd_mv_play_t1A3AAAAAA0wr0?autoplay=1&t=0,,,
1738_Guardians_Of_The_Lost_Code.html,"Three friends have been chosen for an ancient ritual, they will be merged with a Brije, a magical animal spirit. Through a synchronizing ritual, they will acquire the powers of their brije needed to save the world from evil forces.","Animation,Adventure,Action,Kids",Rated 3.7 out of 5 stars by 6 Amazon customers.,6,1,IMDb 6.1,1 h 29 min,2010,7+,/gp/video/detail/B09B141ZTK/ref=atv_dp_atf_prime_sd_mv_play_t1A3AAAAAA0wr0?autoplay=1&t=0,,,
1739_Jarugandi.html,"To help Sathya and Paari, Gajendran offers them money in return for helping him unite with his lover, Keerthy. However, Sathya ends up kidnapping Keerthy and angers a notorious human trafficker.","Comedy,Drama,Action",,,1,IMDb 5.4,2 h 8 min,2018,13+,/gp/video/detail/B09DQVHNJX/ref=atv_dp_atf_prime_sd_mv_play_t1A3AAAAAA0wr0?autoplay=1&t=0,,,
1740_The_Moment.html,"Fearing she may be responsible, a mental patient tries to unravel the mystery behind her ex-lover's disappearance.",Suspense,Rated 3.6 out of 5 stars by 45 Amazon customers.,45,1,IMDb 4.9,1 h 32 min,2013,16+,/gp/video/detail/B00LM4SSBG/ref=atv_dp_atf_prime_sd_mv_play_t1B3AAAAAA0wr0?autoplay=1&t=0,,,
1741_Vathikuchi.html,"Sakthi is an autorickshaw driver, who is in love with his neighbour, Leena. His life changes when he runs into three dangerous criminals who want him dead.","Suspense,Romance,Action",Rated 4 out of 5 stars by 1 Amazon customers.,1,1,IMDb 6.3,2 h 15 min,2013,ALL,/gp/video/detail/B099LPHSWL/ref=atv_dp_atf_prime_sd_mv_play_t1A3AAAAAA0wr0?autoplay=1&t=0,,,
1742_Jawani_Phir_Nahi_Ani.html,"Three childhood friends have settled down in married life but are afraid of their wives. Their friend, a divorce lawyer, returns to Pakistan from the United States and finds that all his friends are in miserable marriages.","Comedy,Kids,Adventure,Romance",Rated 3.3 out of 5 stars by 3 Amazon customers.,3,1,IMDb 7.4,2 h 36 min,2015,16+,/gp/video/detail/B097KYVNQS/ref=atv_dp_atf_prime_sd_mv_play_t1A3AAAAAA0wr0?autoplay=1&t=0,,,
1743_At_Grannys_House.html,"A typical Midwest house. A sweet little old lady. When a caretaker moves in to help out, Granny's House becomes a macabre place of death and love.","Horror,Suspense",Rated 3 out of 5 stars by 223 Amazon customers.,223,1,IMDb 3.8,1 h 26 min,2015,18+,/gp/video/detail/B0948HGXX9/ref=atv_dp_atf_prime_sd_mv_play_t1A3AAAAAA0wr0?autoplay=1&t=0,,,
1744_Wings_Over_Everest.html,"When a plane carrying important documents crashes in the Death Zone of Mount Everest, two men claiming to work for India's research and analysis department offer a large sum of money to Team Wings to take them up to recover them.","Drama,Action",Rated 3.4 out of 5 stars by 6 Amazon customers.,6,1,IMDb 5.3,1 h 50 min,2019,13+,/gp/video/detail/B096YKNNP8/ref=atv_dp_atf_prime_sd_mv_play_t1A3AAAAAA0wr0?autoplay=1&t=0,,,
1745_Night_Things.html,"Two women find themselves trapped between life and death by a dark and mysterious machine. As they search for an escape, they must battle the Lures, a race of creatures determined to imprison them until nightfall, when the vicious Night Things come out to feed upon those who stray from the light.","Science Fiction,Horror",Rated 3.3 out of 5 stars by 20 Amazon customers.,20,1,IMDb 4.6,1 h 30 min,2010,16+,/gp/video/detail/B09F8KT4LY/ref=atv_dp_atf_prime_sd_mv_play_t1A3AAAAAA0wr0?autoplay=1&t=0,X-Ray,,
1746_Life_On_Stage.html,"Greg Fitzsimmons, host of the Howard Stern-produced ""Greg Fitzsimmons Show,"" is back in his hometown of Tarrytown to tell hilarious stories of life on stage.","Comedy,Arts, Entertainment, and Culture",Rated 3.8 out of 5 stars by 19 Amazon customers.,19,1,,1 h 1 min,2013,13+,/gp/video/detail/B07LBTK8NK/ref=atv_dp_atf_prime_sd_mv_play_t1A3AAAAAA0wr0?autoplay=1&t=0,,,
1747_Thrill_Ride.html,"Three kids sneak into a theme park where the attractions magically come alive. With help from a sea witch, the kids must battle an evil mermaid, pirates, a dragon and an armada of monsters. Stars Kristen Johnston and Lucas Jade Zumann.","Science Fiction,Adventure",Rated 4.1 out of 5 stars by 33 Amazon customers.,33,1,,1 h 26 min,2017,13+,/gp/video/detail/B076JV6GG4/ref=atv_dp_atf_prime_sd_mv_play_t1A3AAAAAA0wr0?autoplay=1&t=0,,,
1748_Portrait_Of_Wally.html,"The story of a Nazi-looted painting, Egon Schiele's ""Portrait of Wally,"" that was discovered on the walls of the Museum of Modern Art in 1997, triggering a historic court case that pitted the Manhattan District Attorney, the United States Government and the heirs of a Viennese gallery owner against a major Austrian museum and MoMA.",Documentary,Rated 4.3 out of 5 stars by 68 Amazon customers.,68,1,IMDb 6.9,1 h 30 min,2013,7+,/gp/video/detail/B078S9H951/ref=atv_dp_atf_prime_sd_mv_play_t1A3AAAAAA0wr0?autoplay=1&t=0,,,
1749_Man_Class.html,Comedy Dynamics Presents: In his first one-hour comedy special Bryan Callen gives his unique take on how to be a real man in modern society.,"Arts, Entertainment, and Culture",Rated 4.5 out of 5 stars by 85 Amazon customers.,85,1,,1 h 18 min,2012,18+,/gp/video/detail/B07STF7N5M/ref=atv_dp_atf_prime_sd_mv_play_t1A3AAAAAA0wr0?autoplay=1&t=0,,,
1750_One_Last_Christmas.html,Five adopted brothers come home to tend to their mothers illness and give her the best Christmas she can imagine.,Drama,Rated 4.1 out of 5 stars by 70 Amazon customers.,70,1,,2 h 39 min,2019,18+,/gp/video/detail/B082MTPDFF/ref=atv_dp_atf_prime_sd_mv_play_t1A3AAAAAA0wr0?autoplay=1&t=0,,,
1751_The_Brink.html,"The Brink follows Steve Bannon leading up to the 2018 mid-term elections in the United States. A keen manipulator of the press Bannon continues to draw headlines and protests wherever he goes, feeding the powerful myth on which his survival relies.",Documentary,Rated 4.1 out of 5 stars by 127 Amazon customers.,127,1,IMDb 6.3,1 h 31 min,2019,16+,/gp/video/detail/B07SJHPH2B/ref=atv_dp_atf_prime_sd_mv_play_t1A3AAAAAA0wr0?autoplay=1&t=0,,,
1752_Hope_Lost.html,"A young Romanian girl, bored with small-town life, dreams of entering the glamorous world she sees on Italian soap operas. One night at a club, she meets Gabriel, who claims to be a TV producer who wants to cast her in a reality TV show he is making in Italy. But when she arrives, she is sold to the pimp Manol and forced to make her living on the street.","Suspense,Drama",Rated 3.2 out of 5 stars by 43 Amazon customers.,43,1,IMDb 3.8,1 h 34 min,2015,18+,/gp/video/detail/B017MDFQ24/ref=atv_dp_atf_prime_sd_mv_play_t1A3AAAAAA0wr0?autoplay=1&t=0,,,
1753_The_Special_Special_Special.html,Maria Bamford: The Special Special Special,"Arts, Entertainment, and Culture",Rated 4.1 out of 5 stars by 33 Amazon customers.,33,1,IMDb 6.9,50min,2012,18+,/gp/video/detail/B07TCCXVBT/ref=atv_dp_atf_prime_sd_mv_play_t1A3AAAAAA0wr0?autoplay=1&t=0,,,
1754_Copperman.html,"Anselmo (Luca Argentero) is a world traveler who has the innocence of a child and the heart of a lion. Abandoned by his father who believed he is a superhero, Anselmo lives with his mother, who has succeeded in convincing him that he is a special kind of human. He resembles Forrest Gump, a grown up with a pure heart, a disarming candor, a childish soul totally free from suspicions.","Drama,Action,International",Rated 3.8 out of 5 stars by 34 Amazon customers.,34,1,IMDb 6.0,1 h 40 min,2019,16+,/gp/video/detail/B07W84MBCN/ref=atv_dp_atf_prime_sd_mv_play_t1A3AAAAAA0wr0?autoplay=1&t=0,,,
1755_One_More_Round.html,"Jake Taylor is a man just trying to survive. His dead-end job at a furniture store isn't enough to pay the mortgage and keep food on the table for his wife and daughter. And he's haunted by his past. Now, several years later, he finds himself depressed and locked in a dreary job, with a marriage under stress and the bank about to foreclose on his home.",Drama,Rated 3.2 out of 5 stars by 18 Amazon customers.,18,1,IMDb 4.9,1 h 28 min,2015,7+,/gp/video/detail/B074YH2PR8/ref=atv_dp_atf_prime_sd_mv_play_t1A3AAAAAA0wr0?autoplay=1&t=0,,,
1756_Same_Difference.html,Nonye's past came calling when her husband runs into trouble at his place of work. The only person she can run to for help is her ex-lover whom she abandons at the altar and is the same man who is behind her husband's woes.,Drama,Rated 4.3 out of 5 stars by 4 Amazon customers.,4,1,,1 h 27 min,2019,13+,/gp/video/detail/B09KWZCMBQ/ref=atv_dp_atf_prime_sd_mv_play_t1A3AAAAAA0wr0?autoplay=1&t=0,,,
1757_Valentine_DayZ.html,"A whirlwind romance is interrupted by the zombie apocalypse when Sara (Carrie Keagan) is claimed by the virus, and Max (Dallas Valdez) is forced back into a life he thought he left behind.","Comedy,Horror",Rated 2.7 out of 5 stars by 14 Amazon customers.,14,1,,1 h 18 min,2018,18+,/gp/video/detail/B07LFM35TC/ref=atv_dp_atf_prime_sd_mv_play_t1A3AAAAAA0wr0?autoplay=1&t=0,,,
