file,synopsis,genres,amazon_rating,global_ratings,error,imdb-rating-badge,runtime-badge,release-year-badge,x-ray-badge,hdr-badge,uhd-badge,rating-badge,link
5761_Lost_in_the_Sun.html,"The story of John, a small time crook, who finds an unlikely accomplice in Louis, a newly-orphaned teenage boy. As their open-road adventure progresses and John drags the kid on a string of robberies, the pair forge an unexpected and powerful bond.","Suspense,Drama,Action",Rated 4 out of 5 stars by 264 Amazon customers.,264,1,IMDb 6.0,1 h 35 min,2015,X-Ray,,,16+,/gp/video/detail/B017J3A9RY/ref=atv_dp_atf_prime_sd_mv_play_t1A3AAAAAA0wr0?autoplay=1&t=0
5762_Just_a_Sigh.html,"Alix and Doug were not supposed to meet, but they did. Alix was on a train bound for Paris where she was going to audition for a film, having just left Calais where she had performed in an Ibsen play.",Comedy,Rated 4 out of 5 stars by 64 Amazon customers.,64,1,IMDb 6.4,1 h 45 min,2014,,,,16+,/gp/video/detail/B00MAXXJ1W/ref=atv_dp_atf_prime_sd_mv_play_t1A3AAAAAA0wr0?autoplay=1&t=0
5763_The_Sons_of_Katie_Elder.html,AMC Presents: Katie Elder's four sons avenge the murder of their father and the swindling of their mother.,"Drama,Western",Rated 4.8 out of 5 stars by 2897 Amazon customers.,"2,897",1,IMDb 7.1,2 h 1 min,1965,X-Ray,,,13+,/gp/video/detail/B009NXE41G/ref=atv_dp_atf_prime_sd_mv_play_t1B3AAAAAA0wr0?autoplay=1&t=0
5764_Runway_34.html,"Runway 34 is the story of Captain Vikrant Khanna (Ajay Devgn), a flying prodigy who landed a flight with his eyes closed. Initially hailed by the public as a savior, an investigation led by Narayan Vedant (Amitabh Bachchan) soon enough raises questions that will reveal an entirely different story . Inspired by true events.","Drama,Suspense",Rated 4.3 out of 5 stars by 219 Amazon customers.,219,1,IMDb 7.0,2 h 25 min,2022,X-Ray,,,13+,/gp/video/detail/B09ZYS62QB/ref=atv_dp_atf_prime_sd_mv_play_t1ADAAAAAA0wr0?autoplay=1&t=0
5765_Priceless.html,"On the French Riviera, nothing comes cheap. And when it comes to men, Irene has very rich taste. One very confusing night, she is duped at her own game. Her knight in shining armor turns out to be a bartender. Irene, however, is the woman of Jean's dreams. The only way to win her heart back is to turn the tables on her. Audrey Tautou stars in a romantic comedy that proves true love is priceless","Comedy,International",Rated 4 out of 5 stars by 727 Amazon customers.,727,1,,1 h 45 min,2008,X-Ray,,,PG-13,/gp/video/detail/B01H8AKTY6/ref=atv_dp_atf_prime_sd_mv_play_t1A3AAAAAA0wr0?autoplay=1&t=0
5766_Farm_to_Fork_to_Love.html,"Focused chef, ALICE (Meggan Kaiser), works at one of the top restaurants in New York. After a disastrous night serving a food critic, she receives an invitation to judge the notorious food competition in honor of the annual fundraiser for the St. Andrew's Children's Hospital. Alice decides to go, and among the judges is the handsome chef CHRISTIAN (Scot cooper), who attended school with Alice.","Romance,Drama",Rated 3.2 out of 5 stars by 136 Amazon customers.,136,1,IMDb 5.8,1 h 25 min,2021,X-Ray,,,13+,/gp/video/detail/B09HLHDFT6/ref=atv_dp_atf_prime_sd_mv_play_t1A3AAAAAA0wr0?autoplay=1&t=0
5767_Country_Christmas_Album.html,A country singer who puts her family first opens her heart to new love through a Christmas collaboration with an ex-pop star.,"Drama,Romance",Rated 4.3 out of 5 stars by 104 Amazon customers.,104,1,IMDb 5.7,1 h 28 min,2018,,,,13+,/gp/video/detail/B07PLLD3GY/ref=atv_dp_atf_prime_sd_mv_play_t1A3AAAAAA0wr0?autoplay=1&t=0
5768_Amistad.html,The movie chronicles the incredible journey of a group of enslaved Africans who overtake their captor's ship and attempt to return to their beloved homeland.,Drama,Rated 4.7 out of 5 stars by 3805 Amazon customers.,"3,805",1,IMDb 7.3,2 h 34 min,1997,X-Ray,,UHD,R,/gp/video/detail/B00K05IHNC/ref=atv_dp_atf_prime_sd_mv_play_t1B3AAAAAA0wr0?autoplay=1&t=0
5769_Down_To_Earth.html,"Chris Rock plays a comedian flattened by a bus, returned to earth in a different body.","Comedy,Fantasy",Rated 4.7 out of 5 stars by 714 Amazon customers.,714,1,IMDb 5.4,1 h 27 min,2001,X-Ray,,,18+,/gp/video/detail/B000IVAWQ8/ref=atv_dp_atf_prime_sd_mv_play_t1B3AAAAAA0wr0?autoplay=1&t=0
576_Future_Fear.html,"In a distant future, an archeologist on the run from alien attackers takes refuge in ancient ruins and is forced to use primitive technology to fight her way off the planet.","Horror,Science Fiction",Rated 1.8 out of 5 stars by 29 Amazon customers.,29,1,IMDb 2.2,1 h 32 min,2021,X-Ray,,,16+,/gp/video/detail/B0964GV1LD/ref=atv_dp_atf_prime_sd_mv_play_t1A3AAAAAA0wr0?autoplay=1&t=0
5770_Love_And_Love_Not.html,"There are two places Nicky Leandro calls home each reinforcing a particular facet of his personality: the red-blooded New Yorker and the L.A. transplant. Up until now each have done a fine job of compartmentalizing themselves. That is until Lily, an old flame, gets a hold of him right as he's about to head home for the holidays.","Comedy,Drama,Romance",Rated 4.4 out of 5 stars by 31 Amazon customers.,31,1,IMDb 6.0,1 h 44 min,2022,X-Ray,,,16+,/gp/video/detail/B0B7815KKK/ref=atv_dp_atf_prime_sd_mv_play_t1A3AAAAAA0wr0?autoplay=1&t=0
5771_All_Good_Things.html,HD. Ryan Gosling stars as the heir to a real estate dynasty who is suspected of murdering his wife in this chilling psychological thriller.,"Suspense,Drama",Rated 4.2 out of 5 stars by 2662 Amazon customers.,"2,662",1,IMDb 6.3,1 h 40 min,2010,X-Ray,,,R,/gp/video/detail/B004AUNSX2/ref=atv_dp_atf_prime_sd_mv_play_t1B3AAAAAA0wr0?autoplay=1&t=0
5772_5th_Passenger.html,"The year:  2151.  In the aftermath of an oppressive class war, miller, a pregnant officer aboard an escape pod must struggle to survive with her remaining crew when a mysterious and vicious lifeform attacks, determined to become the dominant species.","Science Fiction,Suspense",Rated 3.2 out of 5 stars by 304 Amazon customers.,304,1,IMDb 3.3,1 h 29 min,2018,,,,16+,/gp/video/detail/B07DYBT6KD/ref=atv_dp_atf_prime_sd_mv_play_t1A3AAAAAA0wr0?autoplay=1&t=0
5773_Minuscule_Valley_Of_The_Lost_Ants.html,"In a peaceful little clearing, the remains of a picnic hastily abandoned spark warfare between two tribes of ants. A bold young ladybug finds himself caught in the middle of the battle. He befriends one of the black ants, Mandible, and helps him save the anthill from the assault of the terrible red ant warriors, led by the fearful Butor. A fantastic journey at ground level...","Comedy,Kids",Rated 4.5 out of 5 stars by 707 Amazon customers.,707,1,IMDb 7.1,1 h 28 min,2015,,,,ALL,/gp/video/detail/B08L9P5SRP/ref=atv_dp_atf_prime_sd_mv_play_t1ADAAAAAA0wr0?autoplay=1&t=0
