imdb,high_matches,avg_score,coverage,title,script_url,filename,char_fname
0163988,0.8823529411764706,92.47058823529412,0.9815059445178336,Bringing Out the Dead,https://imsdb.com/scripts/Bringing-Out-the-Dead.html,Bringing-Out-the-Dead,Bringing-Out-the-Dead_charinfo.txt
0164052,0.7692307692307693,84.84615384615384,0.9941176470588236,Hollow Man,https://imsdb.com/scripts/Hollow-Man.html,Hollow-Man,Hollow-Man_charinfo.txt
0164181,0.5555555555555556,77.36111111111111,0.8994334277620396,Stir of Echoes,https://imsdb.com/scripts/Stir-of-Echoes.html,Stir-of-Echoes,Stir-of-Echoes_charinfo.txt
0165710,0.868421052631579,91.23684210526316,0.9795640326975475,Detroit Rock City,https://imsdb.com/scripts/Detroit-Rock-City.html,Detroit-Rock-City,Detroit-Rock-City_charinfo.txt
0165854,0.7619047619047619,85.04761904761905,0.993514915693904,The Limey,https://imsdb.com/scripts/Limey%2C-The.html,Limey-The,Limey-The_charinfo.txt
0166110,0.7391304347826086,86.30434782608695,0.9811866859623734,Bones,https://www.dailyscript.com/scripts/bones.html,Bones,Bones_charinfo.txt
0166276,0.782608695652174,88.1304347826087,0.9523809523809524,Monkeybone,https://imsdb.com/scripts/Monkeybone.html,Monkeybone,Monkeybone_charinfo.txt
0166896,0.875,93.96875,0.9889415481832544,The Straight Story,https://sfy.ru/?script=straight_story_1999,The-Straight-Story,The-Straight-Story_charinfo.txt
0166924,0.7142857142857143,86.75510204081633,0.9829059829059827,Mulholland Drive,https://sfy.ru/?script=mulholland_drive_pilot,Mulholland-Dr,Mulholland-Dr_charinfo.txt
0167099,0.9285714285714286,96.07142857142856,0.9914236706689536,The Curse,https://sfy.ru/?script=curse_1999,Curse-The,Curse-The_charinfo.txt
0167190,0.8064516129032258,86.16129032258064,0.9747235387045814,Hellboy,https://imsdb.com/scripts/Hellboy.html,Hellboy,Hellboy_charinfo.txt
0167261,0.8571428571428571,92.17142857142858,0.972636815920398,The Lord of the Rings: The Two Towers,https://imsdb.com/scripts/Lord-of-the-Rings-The-Two-Towers.html,Lord-of-the-Rings-The-Two-Towers,Lord-of-the-Rings-The-Two-Towers_charinfo.txt
