imdb_id,title,match,alt_id,script_url,notes,filename,id_merged,char_fname
0244000,American Outlaws,1,,https://www.dailyscript.com/scripts/American_Outlaws.html,,American-Outlaws,0244000,American-Outlaws_charinfo.txt
0163651,American Pie,1,,https://imsdb.com/scripts/American-Pie.html,,American-Pie,0163651,American-Pie_charinfo.txt
0112346,The American President,1,,https://imsdb.com/scripts/American-President%2C-The.html,,American-President-The,0112346,American-President-The_charinfo.txt
0144084,American Psycho,1,,https://www.dailyscript.com/scripts/american_psycho_unproduced.html,,American-Psycho,0144084,American-Psycho_charinfo.txt
19741056,"Episode 235 - American Shaolin: King of the Kickboxers II (or No Retreat, No Surrender 5)",0,0101327,https://imsdb.com/scripts/American-Shaolin-King-of-Kickboxers-II.html,Recent podcast preferred,American-Shaolin-King-of-Kickboxers-II,0101327,American-Shaolin-King-of-Kickboxers-II_charinfo.txt
2179136,American Sniper,1,,https://imsdb.com/scripts/American-Sniper.html,,American-Sniper,2179136,American-Sniper_charinfo.txt
0305206,American Splendor,1,,https://www.dailyscript.com/scripts/American_Splendor.pdf,,American-Splendor,0305206,American-Splendor_charinfo.txt
0082010,An American Werewolf in London,1,,https://imsdb.com/scripts/American-Werewolf-in-London.html,,American-Werewolf-in-London,0082010,American-Werewolf-in-London_charinfo.txt
1440728,The American,1,,https://imsdb.com/scripts/American%2C-The.html,,American-The,1440728,American-The_charinfo.txt
2216212,The Amityville Asylum,1,,https://imsdb.com/scripts/Amityville-Asylum%2C-The.html,,Amityville-Asylum-The,2216212,Amityville-Asylum-The_charinfo.txt
1602620,Amour,1,,https://imsdb.com/scripts/Amour.html,,Amour,1602620,Amour_charinfo.txt
1174732,An Education,1,,https://imsdb.com/scripts/An-Education.html,,An-Education,1174732,An-Education_charinfo.txt
0225071,Angel Eyes,1,,https://imsdb.com/scripts/Angel-Eyes.html,,Angel-Eyes,0225071,Angel-Eyes_charinfo.txt
1781769,Anna Karenina,1,,https://imsdb.com/scripts/Anna-Karenina.html,,Anna-Karenina,1781769,Anna-Karenina_charinfo.txt
0075686,Annie Hall,1,,https://imsdb.com/scripts/Annie-Hall.html,,Annie-Hall,0075686,Annie-Hall_charinfo.txt
0254099,The Anniversary Party,1,,https://imsdb.com/scripts/Anniversary-Party%2C-The.html,,Anniversary-Party-The,0254099,Anniversary-Party-The_charinfo.txt
1521197,Anonymous,1,,https://imsdb.com/scripts/Anonymous.html,,Anonymous,1521197,Anonymous_charinfo.txt
0218817,Antitrust,1,,https://imsdb.com/scripts/Antitrust.html,,Antitrust,0218817,Antitrust_charinfo.txt
0120587,Antz,1,,https://imsdb.com/scripts/Antz.html,,Antz,0120587,Antz_charinfo.txt
0090655,April Fool's Day,1,,https://imsdb.com/scripts/April-Fool%27s-Day.html,,April-Fools-Day,0090655,April-Fools-Day_charinfo.txt
0118636,Apt Pupil,1,,https://imsdb.com/scripts/Apt-Pupil.html,,Apt-Pupil,0118636,Apt-Pupil_charinfo.txt
1764183,Arbitrage,1,,https://imsdb.com/scripts/Arbitrage.html,,Arbitrage,1764183,Arbitrage_charinfo.txt
0106302,Arcade,1,,https://imsdb.com/scripts/Arcade.html,,Arcade,0106302,Arcade_charinfo.txt
0106303,Arctic Blue,1,,https://imsdb.com/scripts/Arctic-Blue.html,,Arctic-Blue,0106303,Arctic-Blue_charinfo.txt
1024648,Argo,1,,https://imsdb.com/scripts/Argo.html,,Argo,1024648,Argo_charinfo.txt
0120591,Armageddon,1,,https://imsdb.com/scripts/Armageddon.html,,Armageddon,0120591,Armageddon_charinfo.txt
0106308,Army of Darkness,1,,https://imsdb.com/scripts/Army-of-Darkness.html,,Army-of-Darkness,0106308,Army-of-Darkness_charinfo.txt
0036613,Arsenic and Old Lace,1,,https://imsdb.com/scripts/Arsenic-and-Old-Lace.html,,Arsenic-and-Old-Lace,0036613,Arsenic-and-Old-Lace_charinfo.txt
0082031,Arthur,0,1334512,https://imsdb.com/scripts/Arthur.html,Older more popular movie preferred,Arthur,1334512,Arthur_charinfo.txt
1655442,The Artist,1,,https://imsdb.com/scripts/Artist%2C-The.html,,Artist-The,1655442,Artist-The_charinfo.txt
1322269,August: Osage County,1,,https://imsdb.com/scripts/August-Osage-County.html,,August-Osage-County,1322269,August-Osage-County_charinfo.txt
0118655,Austin Powers: International Man of Mystery,1,,https://imsdb.com/scripts/Austin-Powers---International-Man-of-Mystery.html,,Austin-Powers-International-Man-of-Mystery,0118655,Austin-Powers-International-Man-of-Mystery_charinfo.txt
2114461,Authors Anonymous,1,,https://imsdb.com/scripts/Authors-Anonymous.html,,Authors-Anonymous,2114461,Authors-Anonymous_charinfo.txt
1630029,Avatar: The Way of Water,0,0499549,https://imsdb.com/scripts/Avatar.html,Newer movie preferred,Avatar,0499549,Avatar_charinfo.txt
0099077,Awakenings,1,,https://www.dailyscript.com/scripts/awakenings_lite.pdf,,Awakenings,0099077,Awakenings_charinfo.txt
0449467,Babel,1,,https://imsdb.com/scripts/Babel.html,,Babel,0449467,Babel_charinfo.txt
1212436,The Back-up Plan,1,,https://imsdb.com/scripts/Back-up-Plan%2C-The.html,,Back-up-Plan-The,1212436,Back-up-Plan-The_charinfo.txt
0112442,Bad Boys,1,,https://www.dailyscript.com/scripts/bad_boys.pdf,,Bad-Boys,0112442,Bad-Boys_charinfo.txt
2350892,Bad Country,1,,https://imsdb.com/scripts/Bad-Country.html,,Bad-Country,2350892,Bad-Country_charinfo.txt
0094701,Bad Dreams,1,,https://imsdb.com/scripts/Bad-Dreams.html,,Bad-Dreams,0094701,Bad-Dreams_charinfo.txt
1284575,Bad Teacher,1,,https://imsdb.com/scripts/Bad-Teacher.html,,Bad-Teacher,1284575,Bad-Teacher_charinfo.txt
0069762,Badlands,1,,https://www.dailyscript.com/scripts/Badlands.txt,,Badlands,0069762,Badlands_charinfo.txt
0072684,Barry Lyndon,1,,https://imsdb.com/scripts/Barry-Lyndon.html,,Barry-Lyndon,0072684,Barry-Lyndon_charinfo.txt
0101410,Barton Fink,1,,https://imsdb.com/scripts/Barton-Fink.html,,Barton-Fink,0101410,Barton-Fink_charinfo.txt
0103772,Basic Instinct,0,0264395,https://www.dailyscript.com/scripts/Basic.txt,Older popular movie preferred,Basic,0264395,Basic_charinfo.txt
